Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Display features,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),Total score,RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Battery capacity (mAh),Max charge power,Battery type,Battery replaceability,Wireless charging,Reverse charging,Fast charging,Full charging time (min),Matrix (megapixels),Zoom,Flash,Stabilization,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,Depth sensor (TOF 3D),NFC*,Infrared port,Number of SIM*,Multi SIM mode,eSIM support*,Hybrid slot,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price category,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Laser autofocus,Autofocus_Phase autofocus,Autofocus_Phase autofocus (Dual Pixel),Speakers_Mono,Speakers_Stereo,Bundled charger,LTE Cat*,Proximity sensor,Gyroscope,Accelerometer,Ambient light sensor,Compass,Fingerprint,Barometer,Hall,effect sensor,Face recognition sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan
2,748133,229256,194210,143156,161454,2,6.67,1080,2400,395,144,0,620,1,60,2,165.1,76.4,9.3,216,3,1,1,1,2,0,7,1,728076,6,4,2,128,6,0,5000,33,0,0,0,0,1,60,64,0,1,2,2,2,2,2.2,3.4,0.8,20,0,2,1,2,0,0,0,1,0,0,1,2,1360,1,2,1,1,1,1,0,0,0,0,1,0,22,1,1,1,1,1,1,1,0,0,0,0,0,1
0,432734,132866,66358,115800,117710,0,6.78,1080,2436,393,120,0,1300,0,360,1,163.6,74.6,7.75,190,5,0,0,0,1,0,6,1,432734,8,3,2,256,4,1,5000,70,0,0,1,1,1,41,108,0,4,2,0,0,2,2.2,3.1,0.7,32,0,1,1,2,0,0,0,0,0,1,0,1,174,0,2,2,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
6,1274282,361831,492051,180840,239560,0,6.7,1080,2412,394,120,1,600,1,720,1,163,75.4,8.75,203.5,5,1,0,0,3,0,4,1,1274282,8,4,4,128,6,0,4800,150,0,0,0,0,1,19,50,0,1,2,0,2,2,2.4,3.1,1,16,0,2,0,2,0,0,0,1,0,0,1,2,752,2,2,1,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
2,1532713,374482,602314,282144,273773,1,6.67,1440,3200,526,120,0,600,1,480,0,162.78,75.44,8.59,205,3,1,1,0,0,0,4,1,1532713,8,5,4,128,7,0,5000,120,0,0,1,0,1,20,54,0,2,2,1,2,2,2.4,3.06,1,16,0,2,1,2,0,0,0,1,0,0,1,2,599,1,2,2,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
4,2088059,463660,902889,387761,334649,1,6.8,1280,2800,453,120,1,5000,1,360,0,162.5,75.8,8.9,225,1,1,1,0,4,0,4,1,2088059,12,5,4,256,7,0,5600,80,0,0,1,1,1,44,50,0,1,2,0,2,2,2,2.51,0.64,50,1,2,1,2,0,1,0,1,0,0,1,2,234,3,4,1,1,1,0,1,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,1,0,1,0
4,1527105,382143,618652,278662,247648,1,6.78,1224,2700,437,120,0,2600,1,60,0,163.7,74.7,8.2,195,3,2,2,0,0,0,4,1,1527105,12,5,4,256,7,0,5000,100,0,0,1,1,1,37,50,1,1,2,0,2,2,2,2.51,0.64,50,1,2,0,2,0,0,0,1,0,0,1,2,295,1,4,1,1,1,0,0,1,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
7,465169,127902,163041,69086,105137,1,6.5,1644,3840,643,60,0,550,1,60,1,167,72,8.2,180,6,1,1,1,5,0,7,1,465169,6,3,2,128,3,1,3300,18,0,0,0,0,1,90,12,1,1,2,0,1,2,2,4,1.12,8,0,2,0,1,0,0,1,0,0,0,1,2,1970,3,2,1,1,1,1,0,0,0,0,1,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
8,2369542,485363,979908,507149,397122,0,6.8,1116,2480,400,120,0,1600,1,960,0,164,76.4,8.9,229,3,2,1,0,4,0,4,1,2369542,16,5,4,512,7,0,5500,165,0,0,0,0,1,16,50,0,1,2,2,2,2,2,3.06,1.12,16,0,2,1,2,0,0,0,1,1,0,1,2,52,3,2,2,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,1,0,0
2,1501656,396296,527576,288948,288836,0,6.67,1220,2712,446,144,1,600,1,480,0,162.2,75.7,8.49,206,1,1,0,0,0,0,4,1,1501656,12,5,4,256,7,0,5000,120,0,0,0,0,1,26,50,0,1,2,1,2,2,2.2,2,0.8,20,0,2,1,2,0,1,0,1,0,0,1,2,356,4,2,1,1,1,1,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
9,606481,180693,112683,147986,165119,1,6.7,1080,2412,394,120,0,1100,1,240,0,161.6,74.7,7.54,177,6,0,0,0,1,0,6,1,606481,8,3,2,256,6,1,5000,67,0,0,0,1,1,45,64,0,1,2,0,1,2,2.4,2.74,0.8,32,0,2,1,2,0,0,0,1,0,0,0,1,203,1,4,1,1,1,0,0,0,0,1,0,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
2,2109270,484670,879453,416300,328847,0,6.73,1440,3200,522,120,1,3000,1,240,0,161.4,75.3,9.2,219.8,1,1,1,0,4,0,4,1,2109270,12,5,4,256,7,0,5000,90,0,0,1,1,1,34,50,0,2,2,2,3,2,2,3.14,0.7,32,0,2,1,2,0,0,0,1,0,0,1,2,203,5,4,2,1,1,1,0,0,0,0,1,1,20,1,1,1,1,1,1,1,0,0,0,0,1,0
10,388487,141050,69953,91280,86204,2,6.56,720,1612,269,90,0,560,0,60,3,165,75.8,8.55,193.8,2,0,0,1,1,1,8,1,388487,4,3,2,128,4,1,5000,20,0,0,0,0,1,120,50,0,1,2,0,0,2,2,3.003953901,1.12,8,0,1,0,2,0,0,1,1,1,1,0,1,448,0,2,1,1,1,0,0,0,0,1,0,1,18,1,0,1,1,1,1,0,0,0,0,0,0,1
11,256425,80985,39264,64233,71943,2,6.6,720,1612,267,90,0,500,0,60,3,163.69,75.6,8.45,194,0,0,0,1,1,0,12,1,256425,8,3,2,256,3,1,5000,18,0,0,0,0,1,108,50,0,2,2,0,0,1,2.2,3.003953901,0.64,32,0,1,0,2,0,0,0,1,1,1,0,0,599,0,2,1,1,1,0,0,0,0,0,1,1,7,1,0,1,1,1,1,0,0,0,0,0,0,1
6,1503915,369812,549821,273801,260021,0,7.82,2268,2440,426,120,1,1400,1,240,0,153.4,143.1,5.8,239,7,1,1,1,0,0,4,1,1503915,16,5,4,512,7,0,4805,67,0,0,0,1,1,42,48,1,1,2,0,2,2,2.4,3.14,0.7,20,0,2,1,2,0,1,0,1,0,0,1,2,326,6,4,1,1,1,1,0,0,1,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
6,442327,146189,98495,85990,111653,2,6.72,1080,2400,391,120,1,550,0,240,2,165.5,76,8.3,195,3,0,0,1,1,0,6,1,442327,8,3,2,128,4,1,5000,50,0,0,0,1,1,47,108,0,1,2,0,0,1,2.4,1.67,1,16,0,2,0,2,0,0,0,1,1,0,1,1,448,1,2,1,1,1,0,0,0,0,0,1,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
3,251970,77163,41212,62322,71273,2,6.56,720,1612,269,90,0,570,0,60,3,163,75,8,180,2,0,0,1,1,0,12,1,251970,4,3,2,128,1,1,5000,15,0,0,0,0,1,107,50,0,1,2,0,0,1,2,2.76,1.12,8,0,1,0,2,0,0,1,0,1,0,1,0,234,0,2,1,1,1,0,0,0,0,0,1,1,7,0,1,1,1,1,1,0,0,0,0,0,0,1
7,1877672,409921,820238,346992,300521,1,6.5,1080,2340,396,120,1,1300,1,240,1,162,74,8.2,192,6,1,1,1,4,0,4,1,1877672,12,5,4,256,7,1,5000,30,0,0,1,1,1,90,48,1,1,2,0,3,2,2,2.9,1,12,0,2,0,1,0,1,0,1,1,0,1,2,82,5,4,2,1,1,1,0,0,0,0,1,0,20,1,1,1,1,1,1,0,0,0,0,0,1,0
12,971043,270835,264479,200427,235308,0,6.78,1260,2800,453,120,1,2800,1,300,0,164.36,75.1,7.45,188,5,1,0,0,2,0,4,1,971043,8,3,2,256,4,0,5000,80,0,0,0,1,1,42,50,1,2,2,0,1,2,2,2.76,0.64,50,0,2,0,2,0,0,0,1,0,0,0,1,174,1,4,1,1,1,0,0,0,0,1,0,1,18,1,1,1,1,1,1,0,0,0,0,0,1,0
11,415676,136813,66510,102902,109451,2,6.78,1080,2460,396,120,0,580,0,180,2,168.61,76.61,9,219.4,3,0,0,1,1,0,6,1,415676,8,3,2,128,4,1,6000,45,0,0,0,1,1,57,50,0,2,2,0,0,2,2,2.76,1.12,8,0,1,0,2,0,0,1,0,1,1,0,0,418,0,2,1,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
9,756404,201695,207483,161937,185289,0,6.7,1080,2412,394,120,0,500,1,360,1,161.2,74.2,7.34,183,3,1,1,0,2,0,5,1,756404,8,4,4,256,6,0,4500,80,0,0,0,1,1,42,50,0,2,2,0,1,2,2.4,2.74,0.8,32,0,2,0,2,0,0,0,1,0,0,1,2,813,2,2,1,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
2,812147,242385,249241,139319,181202,3,6.67,1080,2400,395,60,0,800,1,180,0,163.3,75.4,8.9,219,0,1,1,0,2,0,7,1,812147,6,4,2,128,6,0,4700,30,0,0,0,0,1,70,64,0,2,2,1,2,4,2.2,3.4,0.8,20,0,2,1,2,0,0,0,1,1,0,0,2,1543,1,2,1,1,1,0,0,0,0,1,0,0,24,1,1,1,1,1,1,1,0,0,0,0,1,0
2,635592,185710,154320,128426,167136,2,6.67,1080,2400,395,120,0,450,1,240,3,165.3,76.8,9.4,215,0,0,0,1,5,0,7,1,635592,6,3,2,128,6,1,5160,33,0,0,0,0,1,75,48,0,2,2,0,1,2,2.2,3.4,0.8,20,0,2,1,2,0,0,1,0,1,1,0,1,1239,0,2,1,1,1,0,0,0,0,0,1,0,20,1,1,1,1,1,1,0,0,0,0,0,1,0
13,972547,309344,195380,264617,203206,1,6.8,1260,2844,460,120,1,2500,1,300,0,162.6,75.1,8.4,226,1,3,1,0,1,2,7,1,972547,16,4,4,512,6,0,5200,100,0,0,1,1,1,80,50,0,1,2,0,2,2,2.4,1.7,1,13,0,2,1,2,0,0,0,1,0,0,0,2,143,5,4,1,1,1,0,0,1,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
2,301096,97540,53887,70527,79142,0,5.97,1080,2340,432,60,0,585,1,60,4,147.5,70.5,7.4,155,3,1,1,0,6,1,10,1,301096,6,3,2,64,3,0,3070,18,0,0,0,0,1,87,48,1,2,2,0,1,2,2,2.78,0.9,20,0,2,1,2,0,0,0,0,0,0,0,1,2001,1,2,1,1,1,0,0,1,0,1,0,0,15,1,1,1,1,1,1,1,1,1,0,0,0,1
5,249988,83929,37651,60141,68267,3,6.4,1080,2400,411,90,0,450,0,60,4,159.3,74,8.4,180,3,0,0,1,6,0,12,1,249988,4,3,2,64,1,1,5000,25,1,0,0,0,1,145,64,0,1,2,0,0,1,2.2,4,1.12,20,0,1,0,2,0,0,0,0,1,1,1,1,1178,1,2,1,1,1,0,0,0,0,1,0,0,7,0,1,1,1,1,1,0,0,0,0,0,0,1
9,156730,56344,11446,42926,46014,2,6.51,720,1600,269,60,0,500,0,60,3,163.6,75.7,8.4,192,7,0,0,1,1,0,12,0,156730,4,3,2,128,1,1,5000,18,0,0,0,0,1,145,13,0,1,2,0,0,1,2.5,3.06,1.75,16,0,1,0,2,0,0,1,0,1,1,0,0,1239,0,2,1,1,1,0,0,0,0,1,0,0,7,1,0,1,1,1,1,0,0,0,0,0,0,1
11,226742,78487,26861,58152,63242,2,6.6,720,1612,267,90,0,450,0,60,3,164.57,76,8.95,193,8,0,0,2,6,0,12,0,226742,2,3,2,64,1,1,5000,10,0,0,0,0,0,170,13,0,2,2,0,0,1,1.8,3.003953901,0.9680385288966724,8,0,2,0,2,0,0,0,0,1,1,0,0,933,0,2,1,1,0,0,0,0,0,1,0,1,4,1,0,1,1,0,1,0,0,0,0,0,0,1
3,1552885,384021,523782,376100,268982,4,6.7,1220,2712,446,144,1,2500,1,360,5,161.1,72.4,8.6,197,1,3,1,0,0,0,4,1,1552885,12,5,4,512,7,0,4500,125,0,0,1,1,1,21,50,0,2,2,0,2,2,1.9,2.76,0.64,50,0,2,0,1,0,1,0,1,0,0,1,2,113,3,4,2,1,1,0,0,0,0,0,1,1,18,1,1,1,1,1,1,0,0,0,0,0,1,0
7,1301226,326026,546226,186740,242234,1,6.1,1080,2520,449,120,0,750,1,240,1,154,68,8.6,182,1,1,1,1,0,0,4,1,1301226,8,5,4,128,6,1,5000,30,0,0,1,1,1,93,48,0,1,2,0,3,3,2,2.93,1.22,12,0,2,0,1,0,1,0,1,1,0,1,2,356,3,4,1,1,1,1,0,0,0,0,1,0,20,1,1,1,1,1,1,0,0,0,0,0,0,1
5,1907531,457176,769130,374255,306970,5,6.8,1440,3088,501,120,1,2600,1,240,0,162.3,79,8.6,232,1,1,1,0,4,0,4,1,1907531,12,5,4,256,7,0,5000,45,1,0,1,1,1,65,200,0,1,2,2,2,2,2.2,3.2,1.12,12,0,2,0,1,0,1,0,1,0,0,1,2,234,5,4,2,1,1,1,0,0,1,0,1,0,20,1,1,1,1,1,1,1,1,1,0,0,1,0
1,388038,145746,36336,85253,120703,1,6,1080,2340,432,90,0,700,1,60,4,144.7,70.4,8,151,1,4,1,2,1,1,7,1,388038,8,3,2,128,3,0,4080,18,0,0,1,1,1,105,12,0,1,2,0,2,2,2,4,1.12,8,0,2,0,1,0,1,0,1,0,0,0,2,1421,2,2,1,1,1,1,0,0,0,0,1,0,15,1,1,1,1,1,1,1,0,0,0,0,0,1
4,707571,214987,168077,178183,146324,0,6.7,1200,2664,435,120,1,1000,1,60,0,161.9,74.1,7.8,183,3,0,0,0,1,1,4,1,707571,8,3,2,256,6,0,5000,66,0,0,0,1,1,72,200,0,2,2,0,1,2,2.2,1.4,1.12,50,0,2,0,2,0,1,0,1,0,0,0,1,448,1,4,1,1,1,0,0,1,0,1,0,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
5,372105,109916,116845,79336,66008,3,5.8,1440,2960,570,60,0,540,1,60,4,148.9,68.1,8,155,1,1,1,2,1,1,10,0,372105,4,3,2,64,3,1,3000,15,1,0,1,0,1,105,12,0,2,2,0,1,2,1.7,3.6,1.22,8,0,2,0,2,0,0,1,0,1,0,1,2,2700,2,3,1,0,1,0,0,1,0,1,0,0,16,1,1,1,1,1,1,1,0,0,0,0,0,1
3,418708,145397,82138,78984,112189,4,6.28,1080,2400,419,120,0,500,1,240,1,152.9,71.2,7.75,155,2,0,0,0,1,0,6,1,418708,6,3,2,128,4,0,4020,68,0,0,1,0,1,40,64,0,2,2,0,0,2,2.4,2,0.7,32,0,2,0,2,0,0,0,1,0,0,1,1,691,1,2,1,1,1,0,0,0,0,0,1,1,18,1,0,1,1,1,1,0,0,0,0,0,0,1
13,900786,279684,200980,225502,194620,1,6.76,1224,2776,449,120,1,500,1,300,0,163.14,74.96,7.68,201,3,2,0,0,1,2,7,1,900786,8,4,4,256,6,0,4600,100,0,0,0,1,1,24,50,0,1,2,0,1,2,2.4,2.8,0.61,60,0,2,0,2,0,0,0,1,0,0,0,1,234,2,4,1,1,1,0,1,0,0,0,1,1,20,0,1,1,1,1,1,0,0,0,0,0,0,1
12,2159512,465624,893977,453448,346463,0,8.03,2200,2480,413,120,1,4500,1,300,0,159.96,142.4,5.2,236,9,1,1,0,4,0,4,1,2159512,12,5,4,256,7,0,5700,100,0,0,1,1,1,39,50,1,2,2,2,2,2,2.4,3.6,0.61,32,0,2,1,2,0,0,0,1,0,0,1,2,143,5,2,1,1,1,1,0,0,0,0,1,1,20,1,1,1,1,1,1,0,1,1,0,0,1,0
3,517563,161837,87588,113549,154589,4,6.6,1080,2400,402,144,0,1200,1,360,0,158.52,71.99,7.64,168,1,3,1,0,1,0,6,1,517563,8,3,2,256,4,0,4400,68,0,0,1,1,1,55,50,0,2,2,0,1,2,2.4,1.55,0.7,32,0,2,0,1,0,1,0,1,0,0,1,1,326,1,4,1,1,1,1,0,0,0,0,1,1,19,1,1,1,1,1,1,1,0,0,0,0,0,1
0,259480,83053,41073,65958,69396,6,6.78,1080,2460,396,90,0,600,0,270,3,168.76,76.61,8.5,196,3,0,0,1,1,0,12,1,259480,8,3,2,256,1,1,5000,33,0,0,0,0,1,100,50,0,4,2,0,0,1,2.5,2.55,0.9680385288966724,8,0,0,0,2,0,0,0,0,1,1,0,0,540,0,2,1,1,1,0,0,0,0,0,1,1,20,1,0,1,1,1,1,0,0,0,0,0,0,1
2,245171,86965,37220,53944,67042,2,6.3,1080,2340,409,60,0,550,0,60,3,159.2,75.2,8.1,186,3,1,0,2,1,1,14,1,245171,3,3,2,32,1,1,4000,18,0,0,0,0,1,110,48,0,2,0,0,0,2,2.2,3.1,1.12,13,0,0,1,2,0,0,1,1,1,1,0,1,2060,0,2,1,1,1,1,0,0,0,1,0,0,13,1,1,1,1,1,1,0,0,0,0,0,0,1
5,417389,152613,80451,79577,104748,7,6.6,1080,2408,400,120,0,450,0,60,2,165.4,76.9,8.4,197,3,0,0,1,1,0,6,1,417389,4,3,2,64,4,1,5000,25,1,0,0,0,1,68,50,0,1,2,0,0,1,2.2,5,1.12,8,0,2,0,2,0,0,0,1,1,0,1,1,721,1,2,1,1,1,0,0,0,0,1,0,0,18,0,1,1,1,1,1,1,0,0,0,0,0,1
6,479019,147231,123064,92576,116148,2,6.56,720,1612,269,90,0,500,0,60,2,163.8,75.1,7.99,190,3,0,0,1,5,0,6,1,479019,4,3,2,64,4,1,5000,33,0,0,0,0,1,74,48,0,1,2,0,0,1,2,3.003953901,0.8,16,0,2,0,2,0,0,0,1,1,0,0,1,660,0,2,1,1,1,0,0,0,0,0,1,1,13,1,0,1,1,1,1,1,0,0,0,0,0,1
5,667934,169143,208710,148420,141661,3,6.8,1440,3040,495,60,0,700,1,60,1,162.3,77.2,7.9,196,1,1,1,0,1,1,7,1,667934,12,3,2,256,5,1,4300,45,0,0,1,1,1,65,12,1,1,2,0,2,4,1.6,2.65,1.22,10,0,2,0,2,0,0,0,1,0,1,1,2,1848,4,4,1,1,1,1,0,1,0,0,1,1,20,1,1,1,0,1,1,1,0,0,0,0,0,1
2,1397705,293428,539878,307723,256676,0,6.67,1220,2712,446,120,1,1800,1,480,0,160.45,74.34,8.25,186,5,0,0,0,2,0,4,1,1397705,8,5,4,256,7,0,5000,67,0,0,0,0,1,45,64,0,1,2,0,1,2,2.6,3.06,1,16,0,1,1,2,0,0,0,1,0,0,1,1,234,1,2,2,1,1,0,0,0,0,0,1,1,20,0,1,1,1,1,1,0,0,0,0,0,1,0
5,1156262,327152,435920,188655,204535,5,6.4,1080,2340,403,120,0,1450,1,60,1,158,76.5,8.2,209,1,1,1,0,2,1,4,1,1156262,8,4,4,128,6,0,4500,25,1,0,1,1,1,70,50,1,1,2,1,2,2,2.4,2.65,1.22,10,0,2,0,2,0,1,0,1,0,0,1,2,326,2,4,2,1,1,0,0,0,0,0,1,0,20,1,1,1,1,1,1,0,0,0,0,0,1,0
8,1206944,321813,454814,182280,248037,0,6.8,1080,2400,387,165,0,530,1,720,0,170.5,78.3,9.5,215,3,1,1,0,3,1,4,1,1206944,8,4,2,128,6,0,4500,65,1,0,0,0,1,38,64,0,1,2,2,2,2,2,4,1.12,8,0,2,0,2,0,0,0,1,1,0,1,2,933,2,2,1,1,1,1,0,0,0,0,1,1,20,1,1,1,1,1,1,1,0,0,0,1,0,0
14,372668,128815,61432,87216,95205,2,6.6,1080,2412,401,120,0,600,0,180,2,164.1,75.5,8.5,194,3,0,0,1,1,0,12,1,372668,4,3,2,64,3,1,5000,18,0,0,0,0,1,141,50,0,1,2,0,0,1,2.1,3,1,16,0,1,0,2,0,0,0,0,1,0,0,1,1086,0,2,1,1,1,0,0,0,0,1,0,0,13,1,1,1,1,1,1,0,0,0,0,0,0,1
9,559638,168572,136608,112315,142143,0,6.7,1080,2412,394,120,0,950,1,240,0,162.43,74.19,7.99,185,3,1,0,0,1,0,6,1,559638,8,3,2,128,4,0,5000,67,0,0,0,1,1,43,64,1,1,2,0,1,2,2.4,2.74,0.8,32,0,2,1,2,0,0,0,1,0,0,0,1,448,1,2,1,1,1,0,0,1,0,0,1,1,18,1,1,1,1,1,1,0,0,0,0,0,0,1
5,370348,130365,62597,81009,96377,3,6.5,1080,2340,396,90,0,800,0,60,2,160.1,76.8,9.3,217,3,0,0,1,5,0,6,1,370348,4,3,2,128,4,1,6000,25,1,0,0,0,1,98,50,0,1,0,0,0,1,2,3.003953901,0.9680385288966724,13,0,1,0,2,0,0,1,1,1,0,1,0,143,0,2,1,1,1,0,0,0,0,1,0,0,20,0,1,1,1,1,1,0,0,0,0,0,0,1
3,227536,77070,30643,56954,62869,0,6.4,1080,2400,411,60,0,700,0,60,1,161.89,73.87,8.55,181,2,0,0,1,1,0,12,1,227536,4,3,2,64,1,1,5000,20,0,0,0,0,1,153,50,0,1,2,0,0,1,2.2,4,1.12,13,0,2,0,2,0,0,1,0,1,1,1,1,995,0,2,1,1,1,0,0,0,0,1,0,1,7,1,1,1,1,1,1,0,0,0,0,0,0,1
13,253773,94189,34032,61834,63718,2,6.15,1080,2312,415,60,0,460,0,60,3,152.9,72.7,7.43,159,3,1,0,2,6,0,12,0,253773,4,3,2,128,1,1,3340,18,0,0,0,0,1,115,24,0,1,2,0,0,2,2,2.8,0.8,32,0,2,0,2,0,0,1,0,1,1,0,1,1940,1,2,1,1,1,0,0,0,0,1,0,0,12,1,1,1,1,1,1,0,0,0,0,0,0,1
