,Unnamed: 0,Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Neural processor (NPU),Total score,RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Battery capacity (mAh),Max charge power,Wireless charging,Reverse charging,Matrix (megapixels),Zoom,Flash,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,eSIM support*,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price category,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Phase autofocus,Speakers_Mono,Speakers_Stereo,LTE Cat*,Proximity sensor,Gyroscope,Compass,Barometer,Hall,effect sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan
16,16,7,465169,127902,163041,69086,105137,1,6.5,1644,3840,643,60,0,550,1,120,167,72,8.2,180,5,2,2,2,2,3,1,465169,6,3,2,128,3,1,3300,18,0,0,12,1,1,0,1,2,2,4,1.12,8,0,0,0,0,1,2,1970,3,2,1,1,1,1,0,0,1,20,1,1,1,1,0,0,0,0,1
17,17,8,2369542,485363,979908,507149,397122,0,6.8,1116,2480,400,120,0,1600,1,960,164,76.4,8.9,229,0,0,2,1,12,3,1,2369542,16,5,4,512,7,0,5500,165,0,0,50,0,1,2,2,2,2,3.06,1.12,16,0,1,1,0,1,2,52,3,2,2,1,1,0,0,0,1,20,1,1,1,0,0,0,1,0,0
18,18,2,1501656,396296,527576,288948,288836,0,6.67,1220,2712,446,144,1,600,1,480,162.2,75.7,8.49,206,8,2,1,1,8,3,1,1501656,12,5,4,256,7,0,5000,120,0,0,50,0,1,1,2,2,2.2,2,0.8,20,1,1,0,0,1,2,356,4,2,1,1,1,1,0,0,1,20,1,1,1,0,0,0,0,1,0
19,19,9,606481,180693,112683,147986,165119,1,6.7,1080,2412,394,120,0,1100,1,240,161.6,74.7,7.54,177,5,1,1,1,0,3,1,606481,8,3,2,256,6,1,5000,67,0,1,64,0,1,0,1,2,2.4,2.74,0.8,32,0,1,0,0,0,1,203,1,4,1,1,1,0,0,1,0,20,1,1,1,0,0,0,0,0,1
20,20,2,2109270,484670,879453,416300,328847,0,6.73,1440,3200,522,120,1,3000,1,240,161.4,75.3,9.2,219.8,8,2,2,1,12,3,1,2109270,12,5,4,256,7,0,5000,90,1,1,50,0,2,2,3,2,2,3.14,0.7,32,0,1,0,0,1,2,203,5,4,2,1,1,1,0,0,1,20,1,1,1,1,0,0,0,1,0
21,21,10,388487,141050,69953,91280,86204,2,6.56,720,1612,269,90,0,560,0,120,165,75.8,8.55,193.8,2,1,1,2,0,2,1,388487,4,3,2,128,4,1,5000,20,0,0,50,0,1,0,0,2,2,3.003953901,1.12,8,0,1,1,1,0,1,448,0,2,1,1,1,0,0,1,0,18,1,0,1,0,0,0,0,0,1
22,22,11,256425,80985,39264,64233,71943,2,6.6,720,1612,267,90,0,500,0,120,163.69,75.6,8.45,194,3,1,1,2,0,3,1,256425,8,3,2,256,3,1,5000,18,0,0,50,0,2,0,0,1,2.2,3.003953901,0.64,32,0,1,1,1,0,0,599,0,2,1,1,1,0,0,0,1,7,1,0,1,0,0,0,0,0,1
23,23,6,1503915,369812,549821,273801,260021,0,7.82,2268,2440,426,120,1,1400,1,240,153.4,143.1,5.8,239,0,2,2,2,8,3,1,1503915,16,5,4,512,7,0,4805,67,0,1,48,1,1,0,2,2,2.4,3.14,0.7,20,1,1,0,0,1,2,326,6,4,1,1,1,1,0,0,1,20,1,1,1,0,0,0,0,1,0
24,24,6,442327,146189,98495,85990,111653,2,6.72,1080,2400,391,120,1,550,0,240,165.5,76,8.3,195,0,1,1,2,0,3,1,442327,8,3,2,128,4,1,5000,50,0,1,108,0,1,0,0,1,2.4,1.67,1,16,0,1,1,0,1,1,448,1,2,1,1,1,0,0,0,1,18,1,1,1,0,0,0,0,0,1
25,25,3,251970,77163,41212,62322,71273,2,6.56,720,1612,269,90,0,570,0,120,163,75,8,180,2,1,1,2,0,3,1,251970,4,3,2,128,1,1,5000,15,0,0,50,0,1,0,0,1,2,2.76,1.12,8,0,0,1,0,1,0,234,0,2,1,1,1,0,0,0,1,7,0,1,1,0,0,0,0,0,1
26,26,7,1877672,409921,820238,346992,300521,1,6.5,1080,2340,396,120,1,1300,1,240,162,74,8.2,192,5,2,2,2,12,3,1,1877672,12,5,4,256,7,1,5000,30,1,1,48,1,1,0,3,2,2,2.9,1,12,1,1,1,0,1,2,82,5,4,2,1,1,1,0,0,1,20,1,1,1,0,0,0,0,1,0
27,27,12,971043,270835,264479,200427,235308,0,6.78,1260,2800,453,120,1,2800,1,300,164.36,75.1,7.45,188,4,2,1,1,4,3,1,971043,8,3,2,256,4,0,5000,80,0,1,50,1,2,0,1,2,2,2.76,0.64,50,0,1,0,0,0,1,174,1,4,1,1,1,0,0,1,0,18,1,1,1,0,0,0,0,1,0
28,28,11,415676,136813,66510,102902,109451,2,6.78,1080,2460,396,120,0,580,0,180,168.61,76.61,9,219.4,0,1,1,2,0,3,1,415676,8,3,2,128,4,1,6000,45,0,1,50,0,2,0,0,2,2,2.76,1.12,8,0,0,1,1,0,0,418,0,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,0,1
29,29,9,756404,201695,207483,161937,185289,0,6.7,1080,2412,394,120,0,500,1,360,161.2,74.2,7.34,183,0,2,2,1,4,3,1,756404,8,4,4,256,6,0,4500,80,0,1,50,0,2,0,1,2,2.4,2.74,0.8,32,0,1,0,0,1,2,813,2,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
30,30,2,812147,242385,249241,139319,181202,3,6.67,1080,2400,395,60,0,800,1,180,163.3,75.4,8.9,219,3,2,2,1,4,3,1,812147,6,4,2,128,6,0,4700,30,0,0,64,0,2,1,2,4,2.2,3.4,0.8,20,0,1,1,0,0,2,1543,1,2,1,1,1,0,0,1,0,24,1,1,1,1,0,0,0,1,0
31,31,2,635592,185710,154320,128426,167136,2,6.67,1080,2400,395,120,0,450,1,240,165.3,76.8,9.4,215,3,1,1,2,2,3,1,635592,6,3,2,128,6,1,5160,33,0,0,48,0,2,0,1,2,2.2,3.4,0.8,20,0,0,1,1,0,1,1239,0,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
32,32,13,972547,309344,195380,264617,203206,1,6.8,1260,2844,460,120,1,2500,1,300,162.6,75.1,8.4,226,8,4,2,1,0,1,1,972547,16,4,4,512,6,0,5200,100,1,1,50,0,1,0,2,2,2.4,1.7,1,13,0,1,0,0,0,2,143,5,4,1,1,1,0,1,0,1,20,1,1,1,0,0,0,0,1,0
33,33,2,301096,97540,53887,70527,79142,0,5.97,1080,2340,432,60,0,585,1,120,147.5,70.5,7.4,155,0,2,2,1,1,2,1,301096,6,3,2,64,3,0,3070,18,0,0,48,1,2,0,1,2,2,2.78,0.9,20,0,0,0,0,0,1,2001,1,2,1,1,1,0,1,1,0,15,1,1,1,1,1,1,0,0,1
34,34,5,249988,83929,37651,60141,68267,3,6.4,1080,2400,411,90,0,450,0,120,159.3,74,8.4,180,0,1,1,2,1,3,1,249988,4,3,2,64,1,1,5000,25,0,0,64,0,1,0,0,1,2.2,4,1.12,20,0,0,1,1,1,1,1178,1,2,1,1,1,0,0,1,0,7,0,1,1,0,0,0,0,0,1
35,35,9,156730,56344,11446,42926,46014,2,6.51,720,1600,269,60,0,500,0,120,163.6,75.7,8.4,192,0,1,1,2,0,3,0,156730,4,3,2,128,1,1,5000,18,0,0,13,0,1,0,0,1,2.5,3.06,1.75,16,0,0,1,1,0,0,1239,0,2,1,1,1,0,0,1,0,7,1,0,1,0,0,0,0,0,1
36,36,11,226742,78487,26861,58152,63242,2,6.6,720,1612,267,90,0,450,0,120,164.57,76,8.95,193,0,1,1,3,1,3,0,226742,2,3,2,64,1,1,5000,10,0,0,13,0,2,0,0,1,1.8,3.003953901,0.9680385288966724,8,0,0,1,1,0,0,933,0,2,1,1,0,0,0,1,0,4,1,0,0,0,0,0,0,0,1
37,37,3,1552885,384021,523782,376100,268982,4,6.7,1220,2712,446,144,1,2500,1,360,161.1,72.4,8.6,197,8,4,2,1,8,3,1,1552885,12,5,4,512,7,0,4500,125,1,1,50,0,2,0,2,2,1.9,2.76,0.64,50,1,1,0,0,1,2,113,3,4,2,1,1,0,0,0,1,18,1,1,1,0,0,0,0,1,0
38,38,7,1301226,326026,546226,186740,242234,1,6.1,1080,2520,449,120,0,750,1,240,154,68,8.6,182,8,2,2,2,8,3,1,1301226,8,5,4,128,6,1,5000,30,1,1,48,0,1,0,3,3,2,2.93,1.22,12,1,1,1,0,1,2,356,3,4,1,1,1,1,0,0,1,20,1,1,1,0,0,0,0,0,1
39,39,5,1907531,457176,769130,374255,306970,5,6.8,1440,3088,501,120,1,2600,1,240,162.3,79,8.6,232,8,2,2,1,12,3,1,1907531,12,5,4,256,7,0,5000,45,1,1,200,0,1,2,2,2,2.2,3.2,1.12,12,1,1,0,0,1,2,234,5,4,2,1,1,1,0,0,1,20,1,1,1,1,1,1,0,1,0
40,40,1,388038,145746,36336,85253,120703,1,6,1080,2340,432,90,0,700,1,120,144.7,70.4,8,151,8,3,2,3,0,2,1,388038,8,3,2,128,3,0,4080,18,1,1,12,0,1,0,2,2,2,4,1.12,8,1,1,0,0,0,2,1421,2,2,1,1,1,1,0,0,1,15,1,1,1,1,0,0,0,0,1
41,41,4,707571,214987,168077,178183,146324,0,6.7,1200,2664,435,120,1,1000,1,120,161.9,74.1,7.8,183,0,1,1,1,0,2,1,707571,8,3,2,256,6,0,5000,66,0,1,200,0,2,0,1,2,2.2,1.4,1.12,50,1,1,0,0,0,1,448,1,4,1,1,1,0,1,1,0,18,1,1,1,0,0,0,0,0,1
42,42,5,372105,109916,116845,79336,66008,3,5.8,1440,2960,570,60,0,540,1,120,148.9,68.1,8,155,8,2,2,3,0,2,0,372105,4,3,2,64,3,1,3000,15,1,0,12,0,2,0,1,2,1.7,3.6,1.22,8,0,0,1,0,1,2,2700,2,3,1,0,1,0,1,1,0,16,1,1,1,1,0,0,0,0,1
43,43,3,418708,145397,82138,78984,112189,4,6.28,1080,2400,419,120,0,500,1,240,152.9,71.2,7.75,155,2,1,1,1,0,3,1,418708,6,3,2,128,4,0,4020,68,1,0,64,0,2,0,0,2,2.4,2,0.7,32,0,1,0,0,1,1,691,1,2,1,1,1,0,0,0,1,18,1,0,1,0,0,0,0,0,1
44,44,13,900786,279684,200980,225502,194620,1,6.76,1224,2776,449,120,1,500,1,300,163.14,74.96,7.68,201,0,0,1,1,0,1,1,900786,8,4,4,256,6,0,4600,100,0,1,50,0,1,0,1,2,2.4,2.8,0.61,60,0,1,0,0,0,1,234,2,4,1,1,1,0,0,0,1,20,0,1,1,0,0,0,0,0,1
45,45,12,2159512,465624,893977,453448,346463,0,8.03,2200,2480,413,120,1,4500,1,300,159.96,142.4,5.2,236,0,2,2,1,12,3,1,2159512,12,5,4,256,7,0,5700,100,1,1,50,1,2,2,2,2,2.4,3.6,0.61,32,0,1,0,0,1,2,143,5,2,1,1,1,1,0,0,1,20,1,1,1,0,1,1,0,1,0
46,46,3,517563,161837,87588,113549,154589,4,6.6,1080,2400,402,144,0,1200,1,360,158.52,71.99,7.64,168,8,4,2,1,0,3,1,517563,8,3,2,256,4,0,4400,68,1,1,50,0,2,0,1,2,2.4,1.55,0.7,32,1,1,0,0,1,1,326,1,4,1,1,1,1,0,0,1,19,1,1,1,1,0,0,0,0,1
47,47,0,259480,83053,41073,65958,69396,6,6.78,1080,2460,396,90,0,600,0,270,168.76,76.61,8.5,196,0,1,1,2,0,3,1,259480,8,3,2,256,1,1,5000,33,0,0,50,0,4,0,0,1,2.5,2.55,0.9680385288966724,8,0,0,1,1,0,0,540,0,2,1,1,1,0,0,0,1,20,1,0,1,0,0,0,0,0,1
48,48,2,245171,86965,37220,53944,67042,2,6.3,1080,2340,409,60,0,550,0,120,159.2,75.2,8.1,186,0,2,1,3,0,2,1,245171,3,3,2,32,1,1,4000,18,0,0,48,0,2,0,0,2,2.2,3.1,1.12,13,0,1,1,1,0,1,2060,0,2,1,1,1,1,0,1,0,13,1,1,1,0,0,0,0,0,1
49,49,5,417389,152613,80451,79577,104748,7,6.6,1080,2408,400,120,0,450,0,120,165.4,76.9,8.4,197,0,1,1,2,0,3,1,417389,4,3,2,64,4,1,5000,25,0,0,50,0,1,0,0,1,2.2,5,1.12,8,0,1,1,0,1,1,721,1,2,1,1,1,0,0,1,0,18,0,1,1,1,0,0,0,0,1
50,50,6,479019,147231,123064,92576,116148,2,6.56,720,1612,269,90,0,500,0,120,163.8,75.1,7.99,190,0,1,1,2,2,3,1,479019,4,3,2,64,4,1,5000,33,0,0,48,0,1,0,0,1,2,3.003953901,0.8,16,0,1,1,0,0,1,660,0,2,1,1,1,0,0,0,1,13,1,0,1,1,0,0,0,0,1
51,51,5,667934,169143,208710,148420,141661,3,6.8,1440,3040,495,60,0,700,1,120,162.3,77.2,7.9,196,8,2,2,1,0,2,1,667934,12,3,2,256,5,1,4300,45,1,1,12,1,1,0,2,4,1.6,2.65,1.22,10,0,1,0,1,1,2,1848,4,4,1,1,1,1,1,0,1,20,1,1,1,1,0,0,0,0,1
52,52,2,1397705,293428,539878,307723,256676,0,6.67,1220,2712,446,120,1,1800,1,480,160.45,74.34,8.25,186,4,1,1,1,4,3,1,1397705,8,5,4,256,7,0,5000,67,0,0,64,0,1,0,1,2,2.6,3.06,1,16,0,1,0,0,1,1,234,1,2,2,1,1,0,0,0,1,20,0,1,1,0,0,0,0,1,0
53,53,5,1156262,327152,435920,188655,204535,5,6.4,1080,2340,403,120,0,1450,1,120,158,76.5,8.2,209,8,2,2,1,4,2,1,1156262,8,4,4,128,6,0,4500,25,1,1,50,1,1,1,2,2,2.4,2.65,1.22,10,1,1,0,0,1,2,326,2,4,2,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
54,54,8,1206944,321813,454814,182280,248037,0,6.8,1080,2400,387,165,0,530,1,720,170.5,78.3,9.5,215,0,2,2,1,6,2,1,1206944,8,4,2,128,6,0,4500,65,0,0,64,0,1,2,2,2,2,4,1.12,8,0,1,1,0,1,2,933,2,2,1,1,1,1,0,0,1,20,1,1,1,1,0,0,1,0,0
55,55,14,372668,128815,61432,87216,95205,2,6.6,1080,2412,401,120,0,600,0,180,164.1,75.5,8.5,194,0,1,1,2,0,3,1,372668,4,3,2,64,3,1,5000,18,0,0,50,0,1,0,0,1,2.1,3,1,16,0,0,1,0,0,1,1086,0,2,1,1,1,0,0,1,0,13,1,1,1,0,0,0,0,0,1
56,56,9,559638,168572,136608,112315,142143,0,6.7,1080,2412,394,120,0,950,1,240,162.43,74.19,7.99,185,0,2,1,1,0,3,1,559638,8,3,2,128,4,0,5000,67,0,1,64,1,1,0,1,2,2.4,2.74,0.8,32,0,1,0,0,0,1,448,1,2,1,1,1,0,1,0,1,18,1,1,1,0,0,0,0,0,1
57,57,5,370348,130365,62597,81009,96377,3,6.5,1080,2340,396,90,0,800,0,120,160.1,76.8,9.3,217,0,1,1,2,2,3,1,370348,4,3,2,128,4,1,6000,25,0,0,50,0,1,0,0,1,2,3.003953901,0.9680385288966724,13,0,1,1,0,1,0,143,0,2,1,1,1,0,0,1,0,20,0,1,1,0,0,0,0,0,1
58,58,3,227536,77070,30643,56954,62869,0,6.4,1080,2400,411,60,0,700,0,120,161.89,73.87,8.55,181,2,1,1,2,0,3,1,227536,4,3,2,64,1,1,5000,20,0,0,50,0,1,0,0,1,2.2,4,1.12,13,0,0,1,1,1,1,995,0,2,1,1,1,0,0,1,0,7,1,1,1,0,0,0,0,0,1
59,59,13,253773,94189,34032,61834,63718,2,6.15,1080,2312,415,60,0,460,0,120,152.9,72.7,7.43,159,0,2,1,3,1,3,0,253773,4,3,2,128,1,1,3340,18,0,0,24,0,1,0,0,2,2,2.8,0.8,32,0,0,1,1,0,1,1940,1,2,1,1,1,0,0,1,0,12,1,1,1,0,0,0,0,0,1
60,60,3,562384,170643,143286,113077,135378,1,6.6,1080,2400,399,144,0,500,1,120,160.86,74.24,7.99,170,2,1,1,1,0,3,1,562384,8,3,2,256,4,0,5000,30,1,1,50,0,2,0,1,2,2.5,5,0.7,32,1,1,0,0,1,1,752,2,2,1,1,1,0,0,0,1,19,1,1,1,1,0,0,0,0,1
61,61,14,1497489,391318,524907,305073,276191,0,6.78,1264,2780,450,120,1,6000,1,360,162,75.1,8.65,199,5,2,1,1,8,3,1,1497489,8,5,4,256,7,0,5500,120,0,0,50,1,2,0,2,2,2.5,2.74,0.8,32,0,1,0,0,1,2,82,2,4,1,1,1,0,0,0,1,18,1,1,1,0,0,0,0,1,0
62,62,10,252429,79898,28263,87019,57249,2,6.5,720,1600,270,90,0,500,0,120,165,76.19,8.48,192.23,2,1,1,2,1,3,0,252429,4,3,2,64,4,1,5050,20,0,0,50,0,1,0,0,1,2,2.76,1.12,8,0,0,1,1,0,0,568,0,2,1,1,1,0,0,1,0,7,1,0,0,0,0,0,0,0,1
63,63,12,2152184,490601,893392,446780,321411,0,6.78,1260,2800,452,120,1,3000,1,300,164.05,75.28,8.91,225,8,2,2,1,18,3,1,2152184,12,5,4,256,7,0,5400,100,1,1,50,0,1,2,2,2,2,2.8,0.8,32,1,1,0,0,1,2,295,3,4,2,1,1,1,0,0,1,20,1,1,1,0,0,0,0,1,0
64,64,4,353467,80042,106499,81766,85160,2,5.84,1080,2280,432,60,0,500,0,120,149.6,71.2,7.7,153,0,2,2,2,0,3,1,353467,4,3,2,64,3,0,3400,22,0,0,16,0,1,0,1,2,2,2.8,0.9,24,0,0,1,0,1,2,2335,1,2,1,1,1,0,0,1,0,18,1,1,1,0,0,0,0,0,1
65,65,5,680061,206940,180770,136999,155352,5,6.2,1440,3200,563,120,0,800,1,120,151.7,69.1,7.9,163,8,2,2,1,2,2,1,680061,8,4,2,128,5,1,4000,25,1,1,12,1,1,1,2,2,2.2,3.2,1.22,10,1,0,0,0,1,2,1635,3,4,2,1,1,1,0,0,1,22,1,1,1,1,0,0,0,0,1
66,66,5,667696,241677,167935,112520,145564,3,6.7,1080,2400,393,120,0,500,0,120,163.9,76.5,7.8,180,0,0,0,1,0,2,1,667696,8,4,4,128,6,1,5000,45,0,0,50,0,1,0,1,2,2.4,1.56,1,50,0,1,0,0,1,1,174,1,4,1,1,1,0,0,0,1,18,1,1,1,0,0,0,0,0,1
67,67,9,446453,146992,82953,102495,114013,8,6.72,1080,2400,392,120,0,680,0,240,165.6,76.1,8.2,192,0,1,1,2,0,3,1,446453,8,3,2,256,4,1,5000,67,0,0,64,0,1,0,0,1,2.4,3.003953901,0.9680385288966724,32,0,1,1,0,0,1,479,1,2,1,1,1,0,0,0,1,18,1,1,1,0,0,0,0,0,1
68,68,14,1404534,374669,484656,297350,247859,0,6.78,1264,2780,450,120,1,6000,1,360,162,75.1,8.65,191,5,1,1,1,0,3,1,1404534,8,5,4,256,7,0,5500,100,0,0,50,0,2,0,2,2,2.5,2.74,0.8,32,0,1,0,0,1,1,143,,4,1,1,1,0,0,0,1,18,1,1,1,0,0,0,0,1,0
69,69,11,432789,140917,68002,106352,117518,2,6.78,1080,2460,396,120,0,580,0,180,168.5,76.5,9,220,0,1,1,2,2,3,1,432789,8,3,2,128,4,1,5000,68,0,1,50,0,2,0,0,2,1.7,3.003953901,0.9680385288966724,16,0,1,1,1,0,1,387,0,2,2,1,1,0,0,0,1,20,1,1,1,0,0,0,0,0,1
70,70,2,2020439,433229,857702,393535,319238,0,6.36,1200,2670,460,120,1,3000,1,240,152.8,71.5,8.2,193,8,2,2,1,12,3,1,2003704,8,5,4,256,7,0,4610,90,1,1,50,0,2,1,2,2,2,3,0.7,32,1,1,0,0,1,2,295,3,4,2,1,1,1,1,0,1,20,1,1,1,1,0,0,0,1,0
71,71,15,1215755,325882,426064,214511,249298,3,5.9,1080,2400,445,120,0,800,1,120,146.5,68.1,9.1,169,8,1,2,2,6,3,1,1215755,8,4,4,128,6,0,4300,30,0,1,50,0,1,1,3,2,2.5,2.93,1.22,12,0,1,1,0,0,2,752,3,4,1,1,1,1,0,0,1,20,1,1,1,0,1,1,0,0,1
72,72,16,158657,52236,18220,48690,39511,2,6.75,720,1600,260,90,0,400,0,120,168.29,76.67,8.32,190,0,1,1,2,0,3,0,158657,4,3,2,64,1,1,5010,10,0,0,50,0,1,0,0,1,2.2,5,1.12,5,0,0,1,0,0,0,174,,2,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1
73,73,9,1449660,380900,520102,287260,261398,0,6.74,1240,2772,451,120,1,500,1,120,162.9,74.1,9,207,4,2,2,1,8,3,1,1449660,12,4,4,256,7,0,4800,80,0,0,50,0,2,0,2,2,2.4,2.74,0.8,32,0,1,0,0,1,2,540,2,2,1,1,1,0,1,0,1,20,1,1,1,0,0,0,0,0,1
