Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Display features,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),Total score,RAM size (GB),Memory type,Memory clock,Channels,Storage size (GB),Storage type,Memory card,OS suppoert (years),Battery capacity (mAh),Max charge power,Battery type,Battery replaceability,Wireless charging,Reverse charging,Fast charging,Full charging time (min),Web browsing (min),Watching video (min),Gaming (min),Standby (hr),Matrix (megapixels),Zoom,Flash,Stabilization,8K video recording,4K video recording,1080p video recording,Angle of widest lens (°),Camera features,Aperture,Sensor size,Pixel size (micron),Autofocus,Front camera megapixels,Video resolution,Depth sensor (TOF 3D),NFC*,Infrared port,Number of SIM*,Type of SIM card,Multi SIM mode,eSIM support*,Hybrid slot,5G support,Speakers,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price ($),Bundled charger,Max rated brightness in HDR (nits),RGB color space (%),PWM,Front camera Response time (ms),Front camera Focal length (mm),LTE Cat*,Front camera Max surface temperature (C),Front camera Stability (%),Front camera Graphics test (FPS),Graphics score,Web score,Video editing,Photo editing,Data manipulation,Writing score,Advanced cooling,Proximity sensor,Gyroscope,Accelerometer,Ambient light sensor,Compass,Fingerprint,Barometer,Hall,effect sensor,Face recognition sensor
Xiaomi,748133,229256,194210,143156,161454,IPS LCD,6.67,1080,2400,395,144,0,620.0,1,, - DCI-P3,165.1,76.4,9.3,216.0,No,Glass,Metal,"Yes, in-button",4.0,TSMC,7.0,1,728076,6,LPDDR5,2750.0,2.0,128,UFS 3.1,No,2.0,5000,33.0,Li-Po,No,0,0,1,60.0,607.0,905.0,339.0,123.0,64.0,Digital,LED,Digital,Up to 30FPS,Up to 60FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode - RAW support,2.2,3.4,0.8,No,20.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Flagship,1360,500.0,0,,97.4,2381.0,39.8,27.0,22.0,41.3,99.0,23.0,3843.0,7098.0,5615.0,27436.0,7083.0,13458.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Infinix,432734,132866,66358,115800,117710,AMOLED,6.78,1080,2436,393,120,0,1300.0,0,360.0, - DCI-P3 - Always-On Display,163.6,74.6,7.75,190.0,IP54,Plastic,Plastic,"Yes, in-display",,TSMC,6.0,1,432734,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,MicroSD,,5000,70.0,Li-Po,No,1,1,1,41.0,,,,,108.0,Digital,Quad LED,Digital,No,No,Up to 60FPS,, - Bokeh mode - Pro mode,2.2,3.1,0.7,No,32.0,1080p (Full HD) at 60 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,No,No,Stereo,No,Yes,No,Mid-range,174,250.0,1,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
OnePlus,1274282,361831,492051,180840,239560,AMOLED,6.7,1080,2412,394,120,1,600.0,1,720.0, - DCI-P3 - Always-On Display,163.0,75.4,8.75,203.5,IP54,Glass,Plastic,"Yes, in-display",6.0,TSMC,4.0,1,1274282,8,LPDDR5,3200.0,4.0,128,UFS 3.1,No,2.0,4800,150.0,Li-Po,No,0,0,1,19.0,505.0,902.0,323.0,100.0,50.0,Digital,LED,Digital,No,Up to 60FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode,2.4,3.1,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,752,649.0,1,950.0,99.6,360.0,1.0,26.0,20.0,48.6,93.0,62.0,10404.0,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,1532713,374482,602314,282144,273773,OLED,6.67,1440,3200,526,120,0,600.0,1,480.0, - DCI-P3 - Always-On Display - DC Dimming,162.78,75.44,8.59,205.0,No,Glass,Metal,"Yes, in-display",8.0,TSMC,4.0,1,1532713,8,LPDDR5X,,4.0,128,UFS 4.0,No,1.0,5000,120.0,Li-Po,No,1,0,1,20.0,,,,,54.0,Digital,Dual LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,118.0, - Bokeh mode - Pro mode,2.4,3.06,1.0,No,16.0,1080p (Full HD) at 60 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,,Yes,Flagship,599,,1,1400.0,,,,,20.0,,90.0,74.0,12372.0,13607.0,7376.0,33525.0,11518.0,17462.0,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Honor,2088059,463660,902889,387761,334649,OLED,6.8,1280,2800,453,120,1,5000.0,1,360.0, - DCI-P3 - Always-On Display - DC Dimming,162.5,75.8,8.9,225.0,IP68,Glass,Metal,"Yes, in-display",12.0,TSMC,4.0,1,2088059,12,LPDDR5X,4200.0,4.0,256,UFS 4.0,No,,5600,80.0,Li-Po,No,1,1,1,44.0,764.0,1115.0,380.0,122.0,50.0,Digital,LED,Digital,No,Up to 60FPS,Up to 60FPS,122.0, - Bokeh mode - Pro mode,2.0,2.51,0.64,Laser autofocus,50.0,2160p (4K) at 30 FPS,Yes,Yes,Yes,2,Nano,Standby,Yes,No,Yes,Stereo,No,No,,Flagship,234,800.0,1,,99.7,360.0,1.0,22.0,20.0,,,,,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Honor,1527105,382143,618652,278662,247648,OLED,6.78,1224,2700,437,120,0,2600.0,1,, - DCI-P3 - Always-On Display - DC Dimming,163.7,74.7,8.2,195.0,,,,"Yes, in-display",8.0,TSMC,4.0,1,1527105,12,LPDDR5X,,4.0,256,UFS 4.0,No,,5000,100.0,Li-Po,No,1,1,1,37.0,,,,,50.0,Optical,LED,Digital,No,Up to 60FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.0,2.51,0.64,Phase autofocus,50.0,2160p (4K) at 30 FPS,Yes,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Flagship,295,500.0,1,,,,,,20.0,,,,,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Sony,465169,127902,163041,69086,105137,OLED,6.5,1644,3840,643,60,0,550.0,1,, - DCI-P3 - Always-On Display,167.0,72.0,8.2,180.0,IP65,Glass,Metal,"Yes, in-button",2.0,TSMC,7.0,1,465169,6,LPDDR4X,2133.0,2.0,128,UFS 2.1,MicroSD,1.0,3300,18.0,Li-Po,No,0,0,1,90.0,293.0,545.0,222.0,79.0,12.0,Optical,LED,Digital,No,Up to 30FPS,Up to 60FPS,135.0, - Bokeh mode - Pro mode - RAW support,2.0,4.0,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Yes,No,1,Nano,Standby,No,Yes,No,Stereo,No,No,Yes,Flagship,1970,950.0,0,,100.0,245.0,3.6,24.0,20.0,40.4,87.0,18.0,3087.0,7173.0,5714.0,22038.0,8294.0,12345.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ZTE,2369542,485363,979908,507149,397122,AMOLED,6.8,1116,2480,400,120,0,1600.0,1,960.0, - DCI-P3 - Always-On Display - DC Dimming,164.0,76.4,8.9,229.0,No,,Metal,"Yes, in-display",12.0,TSMC,4.0,1,2369542,16,LPDDR5X,4200.0,4.0,512,UFS 4.0,No,,5500,165.0,Li-Po,No,0,0,1,16.0,,,,,50.0,Digital,LED,Digital,Up to 30FPS,Up to 60FPS,Up to 60FPS,, - Bokeh mode - Pro mode,2.0,3.06,1.12,No,16.0,1080p (Full HD) at 60 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,Yes,No,,Flagship,52,815.0,1,,,,,,20.0,,,,,,,,,,Active fan,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,1501656,396296,527576,288948,288836,AMOLED,6.67,1220,2712,446,144,1,600.0,1,480.0, - DCI-P3 - Always-On Display - DC Dimming,162.2,75.7,8.49,206.0,IP68,Glass,Plastic,"Yes, in-display",8.0,TSMC,4.0,1,1501656,12,LPDDR5X,4266.0,4.0,256,UFS 4.0,No,1.0,5000,120.0,Li-Po,No,0,0,1,26.0,553.0,792.0,375.0,99.0,50.0,Digital,LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,, - Bokeh mode - Pro mode - RAW support,2.2,2.0,0.8,No,20.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Flagship,356,1099.0,1,2600.0,100.0,120.0,1.0,26.0,,,,,,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Oppo,606481,180693,112683,147986,165119,OLED,6.7,1080,2412,394,120,0,1100.0,1,240.0, - DCI-P3 - Always-On Display - DC Dimming,161.6,74.7,7.54,177.0,IP65,Plastic,Plastic,"Yes, in-display",,TSMC,6.0,1,606481,8,LPDDR4X,2133.0,2.0,256,UFS 3.1,MicroSD,,5000,67.0,Li-Po,No,0,1,1,45.0,,,,,64.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.4,2.74,0.8,No,32.0,2160p (4K) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Mono,No,No,No,Mid-range,203,299.0,1,,,,,22.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Xiaomi,2109270,484670,879453,416300,328847,AMOLED,6.73,1440,3200,522,120,1,3000.0,1,240.0, - DCI-P3 - Always-On Display - DC Dimming,161.4,75.3,9.2,219.8,IP68,Glass,Metal,"Yes, in-display",12.0,TSMC,4.0,1,2109270,12,LPDDR5X,4200.0,4.0,256,UFS 4.0,No,,5000,90.0,Li-Po,No,1,1,1,34.0,563.0,746.0,275.0,109.0,50.0,Digital,Dual LED,Digital,Up to 30FPS,Up to 120FPS,Up to 60FPS,122.0, - Bokeh mode - Pro mode - RAW support,2.0,3.14,0.7,No,32.0,2160p (4K) at 60 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,203,1499.0,1,,98.9,120.0,1.0,22.0,20.0,47.7,78.0,95.0,15893.0,14465.0,7923.0,32217.0,16078.0,19505.0,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Nokia,388487,141050,69953,91280,86204,IPS LCD,6.56,720,1612,269,90,0,560.0,0,,,165.0,75.8,8.55,193.8,IP52,Plastic,Plastic,"Yes, in-button",,Samsung,8.0,1,388487,4,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,1.0,5000,20.0,Li-Po,No,0,0,1,120.0,,,,,50.0,Digital,LED,Digital,No,No,Up to 60FPS,, - Bokeh mode - Pro mode,2.0,,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,Yes,Yes,Mono,Yes,Yes,No,Mid-range,448,199.0,1,,95.3,,29.0,,18.0,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Tecno,256425,80985,39264,64233,71943,IPS LCD,6.6,720,1612,267,90,0,500.0,0,,,163.69,75.6,8.45,194.0,IP53,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,1,256425,8,LPDDR4X,1800.0,2.0,256,UFS 2.1,MicroSD,,5000,18.0,Li-Po,No,0,0,1,108.0,,,,,50.0,Digital,Dual LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.2,,0.64,No,32.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,No,Yes,Stereo,Yes,Yes,No,Budget,599,125.0,1,,,,,,7.0,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
OnePlus,1503915,369812,549821,273801,260021,AMOLED,7.82,2268,2440,426,120,1,1400.0,1,240.0, - DCI-P3 - Always-On Display - DC Dimming,153.4,143.1,5.8,239.0,IPX4,Glass,Metal,"Yes, in-button",8.0,TSMC,4.0,1,1503915,16,LPDDR5X,4200.0,4.0,512,UFS 4.0,No,1.0,4805,67.0,Li-Po,No,0,1,1,42.0,599.0,799.0,300.0,102.0,48.0,Optical,LED,Digital,No,Up to 60FPS,Up to 60FPS,114.0, - Bokeh mode - Pro mode - RAW support,2.4,3.14,0.7,Phase autofocus (Dual Pixel),20.0,2160p (4K) at 30 FPS,No,Yes,Yes,2,Nano,Standby,Yes,No,Yes,Stereo,No,No,Yes,Flagship,326,1699.0,1,2800.0,,,,22.0,20.0,,,,,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
OnePlus,442327,146189,98495,85990,111653,IPS LCD,6.72,1080,2400,391,120,1,550.0,0,240.0, - DCI-P3,165.5,76.0,8.3,195.0,No,Plastic,Plastic,"Yes, in-button",,TSMC,6.0,1,442327,8,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,,5000,50.0,Li-Po,No,0,1,1,47.0,548.0,780.0,311.0,123.0,108.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.4,1.67,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,Yes,No,Yes,Mid-range,448,299.0,1,,95.6,,20.0,,18.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Motorola,251970,77163,41212,62322,71273,IPS LCD,6.56,720,1612,269,90,0,570.0,0,,,163.0,75.0,8.0,180.0,IP52,Plastic,Plastic,"Yes, in-button",,TSMC,12.0,1,251970,4,LPDDR4X,1800.0,2.0,128,eMMC 5.1,MicroSD,,5000,15.0,Li-Po,No,0,0,1,107.0,,,,,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.0,2.76,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,Yes,No,Stereo,Yes,,Yes,Budget,234,129.0,1,,94.2,,34.0,,7.0,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Sony,1877672,409921,820238,346992,300521,OLED,6.5,1080,2340,396,120,1,1300.0,1,240.0, - DCI-P3 - Always-On Display,162.0,74.0,8.2,192.0,IP65,Glass,Metal,"Yes, in-button",12.0,TSMC,4.0,1,1877672,12,LPDDR5X,4200.0,4.0,256,UFS 4.0,MicroSD,,5000,30.0,Li-Po,No,1,1,1,90.0,705.0,1222.0,445.0,127.0,48.0,Optical,LED,Digital,No,Up to 120FPS,Up to 60FPS,123.0, - Bokeh mode - Pro mode - RAW support,2.0,2.9,1.0,No,12.0,2160p (4K) at 60 FPS,No,Yes,No,1,Nano,Standby,Yes,No,Yes,Stereo,Yes,No,Yes,Flagship,82,1399.0,0,,,,,24.0,,,,,,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Vivo,971043,270835,264479,200427,235308,AMOLED,6.78,1260,2800,453,120,1,2800.0,1,300.0, - DCI-P3 - Always-On Display - DC Dimming,164.36,75.1,7.45,188.0,IP54,Glass,Plastic,"Yes, in-display",4.0,TSMC,4.0,1,971043,8,LPDDR4X,2133.0,2.0,256,UFS 2.2,No,,5000,80.0,Li-Po,No,0,1,1,42.0,773.0,927.0,353.0,72.0,50.0,Optical,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,119.0, - Bokeh mode - Pro mode,2.0,2.76,0.64,No,50.0,2160p (4K) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Mono,No,No,No,Mid-range,174,500.0,1,,,,,21.0,18.0,,,,,,,,,,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Tecno,415676,136813,66510,102902,109451,IPS LCD,6.78,1080,2460,396,120,0,580.0,0,180.0, - DCI-P3,168.61,76.61,9.0,219.4,No,Plastic,Plastic,"Yes, in-button",,TSMC,6.0,1,415676,8,LPDDR4X,2133.0,2.0,128,UFS 2.2,MicroSD,1.0,6000,45.0,Li-Po,No,0,1,1,57.0,,,,,50.0,Digital,Dual LED,Digital,No,No,Up to 60FPS,, - Bokeh mode - Pro mode,2.0,2.76,1.12,No,8.0,1080p (Full HD) at 30 FPS,No,Depends on the region,No,2,Nano,Standby,No,Yes,No,Stereo,Yes,Yes,No,Budget,418,180.0,1,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Oppo,756404,201695,207483,161937,185289,AMOLED,6.7,1080,2412,394,120,0,500.0,1,360.0, - DCI-P3 - Always-On Display,161.2,74.2,7.34,183.0,No,Glass,Metal,"Yes, in-display",4.0,TSMC,5.0,1,756404,8,LPDDR5,3200.0,4.0,256,UFS 3.1,No,2.0,4500,80.0,Li-Po,No,0,1,1,42.0,400.0,675.0,286.0,106.0,50.0,Digital,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,112.0, - Bokeh mode - Pro mode,2.4,2.74,0.8,No,32.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,813,575.0,1,1300.0,,,,24.0,,,99.0,34.0,5801.0,8894.0,5274.0,18716.0,9260.0,18376.0,Vapor chamber,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
