Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Battery capacity (mAh),Max charge power,Wireless charging,Reverse charging,Matrix (megapixels),Zoom,Flash,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,eSIM support*,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Phase autofocus,LTE Cat*,Proximity sensor,Gyroscope,Compass,Barometer,Hall,effect sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan,Always-On Display,DC Dimming,DCI-P3,Speakers,Launch price category
4,412091,124245,82760,92221,112865,0,6.67,1080,2400,395,120,0,800,0,161.6,73.9,7.9,175.0,0,1,1,1,0,3,6,1,6,3,2,128,4,0,5100,40,0,0,64,0,1,0,0,1,2.5,3.00395390070922,0.8,16.0,0,1,0,0,0,1,599,2,1,1,1,0,0,18,1,1,1,0,0,0,0,0,1,1,1,1,0.0,1.0
8,1529697,384073,592577,274819,278228,0,6.8,1116,2480,400,120,0,500,1,163.88,76.35,9.47,228.0,0,2,2,1,8,3,4,1,8,5,4,128,7,0,6000,65,0,0,50,0,1,2,2,2,2.0,2.8,1.12,16.0,0,1,1,0,0,2,630,2,2,1,1,0,0,20,1,1,1,0,0,0,1,0,0,1,1,1,1.0,2.0
11,160018,52127,21821,48039,38031,2,6.6,720,1612,267,90,0,400,0,163.89,75.39,8.4,202.0,0,1,1,2,0,3,12,0,8,3,2,128,1,1,5000,18,0,0,50,0,2,0,0,1,2.0,3.00395390070922,0.9680385288966724,8.0,0,0,1,1,0,0,509,2,1,1,1,0,0,7,1,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0
1,907387,257861,279144,157307,213075,0,6.3,1080,2400,416,90,0,450,1,155.6,73.2,8.7,197.0,8,2,2,1,4,2,5,1,8,4,4,128,6,0,4355,20,1,1,50,0,2,0,2,2,2.2,3.1,1.22,10.8,1,1,0,0,0,2,691,4,2,1,1,1,0,20,1,1,1,1,0,0,0,0,1,1,0,1,1.0,2.0
1,931591,258023,313582,144037,215949,1,6.7,1440,3120,512,120,1,500,1,163.9,75.9,8.9,210.0,8,2,2,1,4,2,5,1,12,4,4,128,6,0,5003,30,1,1,50,1,2,0,2,2,2.0,2.9,1.22,11.1,1,1,0,0,1,2,1056,4,1,1,1,1,0,20,1,1,1,1,0,0,0,0,1,1,0,1,1.0,3.0
15,1215755,325882,426064,214511,249298,3,5.9,1080,2400,445,120,0,800,1,146.5,68.1,9.1,169.0,8,1,2,2,6,3,4,1,8,4,4,128,6,0,4300,30,0,1,50,0,1,1,3,2,2.5,2.93,1.22,12.0,0,1,1,0,0,2,752,4,1,1,1,1,0,20,1,1,1,0,1,1,0,0,1,1,1,1,1.0,3.0
2,748133,229256,194210,143156,161454,2,6.67,1080,2400,395,144,0,620,1,165.1,76.4,9.3,216.0,0,2,2,2,4,3,7,1,6,4,2,128,6,0,5000,33,0,0,64,0,1,2,2,2,2.2,3.4,0.8,20.0,0,1,0,0,1,2,1360,2,1,1,1,1,0,22,1,1,1,1,0,0,0,0,1,0,0,1,1.0,1.0
11,370980,112313,60006,90615,108046,2,6.8,1080,2460,395,120,0,480,0,166.79,74.55,8.58,204.0,0,1,1,2,0,3,12,1,8,3,2,128,3,1,5000,33,0,0,64,1,4,0,0,1,2.4,3.4,0.8,32.0,0,0,1,1,0,1,783,2,1,1,1,0,0,20,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0
4,353467,80042,106499,81766,85160,2,5.84,1080,2280,432,60,0,500,0,149.6,71.2,7.7,153.0,0,2,2,2,0,3,10,1,4,3,2,64,3,0,3400,22,0,0,16,0,1,0,1,2,2.0,2.8,0.9,24.0,0,0,1,0,1,2,2335,2,1,1,1,0,0,18,1,1,1,0,0,0,0,0,1,0,0,0,0.0,1.0
5,1189058,329603,416565,203688,239202,5,7.6,1812,2176,374,120,1,500,1,155.1,130.1,6.3,263.0,0,2,2,2,6,3,4,1,12,4,4,256,6,0,4400,25,1,1,50,0,1,1,2,2,2.2,3.2,1.22,10.0,1,1,0,0,1,2,752,4,2,1,1,0,0,20,1,1,1,1,1,1,0,0,1,1,0,1,1.0,6.0
14,372668,128815,61432,87216,95205,2,6.6,1080,2412,401,120,0,600,0,164.1,75.5,8.5,194.0,0,1,1,2,0,3,12,1,4,3,2,64,3,1,5000,18,0,0,50,0,1,0,0,1,2.1,3.0,1.0,16.0,0,0,1,0,0,1,1086,2,1,1,1,0,0,13,1,1,1,0,0,0,0,0,1,0,0,1,0.0,0.0
2,160779,52804,16776,54670,36529,2,6.71,720,1650,268,60,0,400,0,169.59,76.56,9.18,204.0,2,1,1,3,0,0,7,1,3,3,2,32,4,1,6000,18,0,0,13,0,1,0,0,1,2.2,3.00395390070922,0.9680385288966724,5.0,0,0,1,1,0,0,783,2,1,1,1,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
12,537985,191770,47410,165783,133022,0,6.78,1080,2400,388,120,1,1300,1,164.36,74.75,7.75,188.0,4,0,1,1,0,2,4,1,8,3,2,256,4,1,5500,44,0,0,50,0,2,0,1,2,2.0,2.0,0.7,32.0,1,1,0,0,0,1,52,2,1,1,1,0,0,18,1,1,1,0,0,0,0,0,1,1,1,1,0.0,1.0
13,571800,187100,137720,114400,132360,1,6.57,1080,2340,392,120,0,430,1,160.0,73.7,7.77,175.0,0,2,1,1,0,3,6,1,8,3,2,128,3,0,4300,66,0,1,50,0,1,0,1,2,2.0,1.56,1.0,32.0,0,0,0,0,0,1,1086,4,1,1,1,0,0,18,1,1,1,0,0,0,0,0,1,1,1,1,0.0,1.0
1,478984,146165,123957,94203,114659,1,6.34,1080,2400,413,60,0,500,1,156.2,73.2,8.8,183.0,7,3,2,3,0,2,7,1,6,3,2,128,3,0,4680,18,0,0,12,0,1,0,2,2,2.0,4.0,1.12,8.0,1,1,1,0,0,1,1056,2,2,1,1,1,0,15,1,1,1,1,0,0,0,0,1,1,0,1,1.0,1.0
13,972547,309344,195380,264617,203206,1,6.8,1260,2844,460,120,1,2500,1,162.6,75.1,8.4,226.0,8,4,2,1,0,1,7,1,16,4,4,512,6,0,5200,100,1,1,50,0,1,0,2,2,2.4,1.7,1.0,13.0,0,1,0,0,0,2,143,4,1,1,1,0,1,20,1,1,1,0,0,0,0,1,0,1,1,1,1.0,5.0
2,1124100,341849,338786,208130,235335,1,6.67,1080,2400,395,120,1,500,1,161.11,74.95,7.9,181.0,3,1,1,2,8,3,4,1,8,4,4,256,6,0,5000,67,0,0,64,0,2,0,1,2,2.5,3.1,1.12,16.0,0,1,1,0,1,1,540,2,2,1,1,0,0,20,1,1,1,0,0,0,0,1,0,1,1,1,1.0,1.0
14,392223,139903,74754,78553,99013,2,6.6,1080,2400,399,90,0,480,1,163.8,75.8,8.9,202.0,0,2,1,2,0,2,8,1,6,3,2,64,3,1,4300,30,0,0,64,1,1,0,1,3,2.1,3.1,1.0,16.0,0,0,1,1,1,1,1635,2,1,1,1,1,0,6,1,1,1,0,0,0,0,0,1,0,0,1,0.0,0.0
4,319550,103113,40818,96681,76938,0,6.7,1080,2412,394,90,0,2000,1,161.05,74.55,6.78,166.0,0,1,1,2,0,3,6,1,8,3,2,128,4,0,4500,35,0,0,108,0,1,0,0,1,2.1,1.67,0.64,50.0,0,0,0,0,0,1,265,2,1,1,1,0,0,13,0,1,1,0,0,0,0,0,1,1,1,1,0.0,0.0
3,471522,155892,78906,106020,130704,2,6.5,1080,2400,405,120,1,560,0,161.56,73.82,8.89,177.0,2,1,1,2,0,3,6,1,8,3,2,128,4,1,5000,33,0,1,50,0,1,0,0,2,2.4,3.00395390070922,1.0,16.0,1,1,1,1,1,1,356,2,1,1,1,1,0,18,1,1,1,0,0,0,0,0,1,0,0,1,1.0,0.0
5,1808358,439226,699498,366148,303486,5,6.7,1440,3120,513,120,1,2600,1,158.5,75.9,7.7,196.0,8,2,2,1,8,2,4,1,12,5,4,256,7,0,4900,45,1,1,50,1,1,2,2,2,2.2,3.2,1.12,12.0,1,1,0,0,1,2,234,4,2,1,1,1,1,20,1,1,1,1,1,1,0,1,0,1,0,1,1.0,3.0
5,285439,93214,49042,67614,75569,7,6.5,720,1600,270,90,0,500,0,164.5,75.5,8.8,195.0,0,1,1,2,2,3,7,1,4,3,2,64,1,1,5000,15,0,0,50,0,1,0,0,1,2.0,2.76,0.64,5.0,0,1,1,0,1,0,995,2,1,1,1,0,0,18,0,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0
3,1222503,337426,454632,204433,226012,1,6.7,1080,2400,393,144,0,600,1,163.06,75.95,8.79,196.0,2,2,1,2,6,2,4,1,8,4,4,128,6,0,4800,68,1,1,50,0,2,1,2,2,2.2,2.8,0.6,60.0,0,1,0,0,1,2,905,4,1,1,1,0,0,20,1,1,1,0,0,0,0,0,1,1,0,1,1.0,3.0
5,401068,134478,66843,89244,110503,3,6.5,1080,2340,396,90,0,800,0,160.1,76.8,8.4,200.0,0,1,1,2,0,3,6,1,8,3,2,128,4,1,5000,25,0,0,50,0,1,0,0,1,2.0,3.06,1.12,13.0,0,0,1,1,1,0,265,2,1,1,0,0,0,13,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0
5,1503165,374434,629926,220495,278310,5,6.1,1080,2340,425,120,1,800,1,146.3,70.9,7.6,168.0,8,2,2,1,8,3,4,1,8,5,4,128,7,0,3900,25,1,1,50,0,1,2,2,3,2.2,3.24,1.12,12.0,1,1,0,0,1,2,568,4,2,1,1,1,0,20,1,1,1,1,1,1,0,1,0,1,0,1,1.0,3.0
5,1461703,378453,518958,305820,258472,5,7.6,1812,2176,374,120,1,600,1,154.9,129.9,6.1,253.0,0,2,2,2,8,3,4,1,12,5,4,256,7,0,4400,25,1,1,50,0,1,1,2,2,1.8,3.2,1.22,10.0,1,1,0,0,1,2,387,4,2,1,1,1,0,20,1,1,1,1,0,0,0,1,0,1,0,1,1.0,6.0
2,419572,135496,64653,110036,109387,2,6.58,1080,2408,401,90,0,500,0,163.99,76.09,8.9,201.0,2,1,1,2,0,3,6,1,4,3,2,64,4,1,5000,18,0,0,50,0,1,0,0,1,2.2,5.0,0.64,5.0,0,0,1,1,0,1,721,2,1,1,1,0,0,13,1,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0
14,414935,129606,63977,114137,101572,2,6.72,1080,2400,392,120,0,680,0,165.7,76.0,7.89,190.0,4,1,1,2,2,3,6,1,4,3,2,128,6,1,5000,33,0,0,50,0,1,0,0,1,2.1,2.76,0.64,8.0,0,1,1,0,0,0,265,2,1,1,1,0,0,20,1,0,1,0,0,0,0,0,1,0,0,1,1.0,0.0
2,235828,89694,34389,53247,58498,2,6.3,1080,2340,409,60,0,500,0,161.1,75.4,8.6,200.0,0,2,1,3,0,2,11,1,3,3,2,32,1,1,4000,18,0,0,48,0,1,0,1,2,2.0,2.9,1.12,13.0,0,0,1,1,0,1,1726,2,1,1,1,0,0,12,1,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0
7,443825,152799,84257,95239,111530,1,6.0,1080,2520,457,60,0,700,1,153.0,67.0,8.3,161.0,8,1,1,2,0,3,6,1,6,3,2,128,3,1,5000,30,0,0,12,0,1,0,0,1,2.0,4.0,1.12,8.0,0,1,1,0,0,1,813,2,1,1,1,0,0,18,1,1,1,0,0,0,0,0,1,0,0,1,0.0,1.0
0,752358,201661,225139,156207,169351,0,6.67,1080,2400,395,120,0,900,0,162.7,75.9,8.2,190.0,3,1,1,1,0,3,6,1,8,3,2,256,6,1,5000,68,1,1,108,0,4,0,1,2,1.8,1.67,0.8,32.0,0,1,1,1,0,1,448,2,1,1,1,0,0,20,1,1,1,0,0,0,0,1,0,1,0,1,1.0,1.0
5,175983,61138,16754,48223,49868,7,6.6,1080,2408,400,60,0,450,0,165.4,76.9,8.4,192.0,0,1,1,2,0,2,8,0,4,3,2,64,1,1,5000,15,0,0,50,0,1,0,0,1,2.2,5.0,1.12,8.0,0,0,1,1,1,0,813,2,1,1,1,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0
12,2077133,439782,888982,417895,330474,0,6.78,1260,2800,453,144,1,3000,1,163.22,75.8,8.1,198.5,4,2,2,1,12,3,4,1,12,5,4,256,7,0,5000,120,0,1,50,1,2,2,2,2,2.5,3.1,1.0,16.0,0,1,0,0,1,2,295,2,1,1,1,1,0,20,1,1,1,0,0,0,0,1,0,1,1,1,1.0,2.0
5,765878,217225,243311,148314,157028,3,6.7,1080,2400,393,60,0,600,1,161.6,75.2,8.3,192.0,8,1,2,1,2,2,7,1,8,4,2,256,6,0,4300,25,1,1,12,1,2,1,2,4,2.2,3.2,1.22,10.0,1,1,0,0,1,2,1482,4,2,1,1,1,0,20,1,1,1,1,1,1,0,1,0,1,0,1,1.0,3.0
0,147172,50782,17888,46469,32033,2,6.6,720,1612,267,90,0,500,0,163.6,75.6,8.5,189.0,0,1,1,2,0,3,12,0,4,3,2,64,1,1,5000,10,0,0,50,0,1,0,0,1,2.0,3.00395390070922,0.9680385288966724,8.0,0,0,1,1,0,0,203,2,1,0,0,0,0,7,1,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0
12,2159512,465624,893977,453448,346463,0,8.03,2200,2480,413,120,1,4500,1,159.96,142.4,5.2,236.0,0,2,2,1,12,3,4,1,12,5,4,256,7,0,5700,100,1,1,50,1,2,2,2,2,2.4,3.6,0.61,32.0,0,1,0,0,1,2,143,2,1,1,1,1,0,20,1,1,1,0,1,1,0,1,0,1,1,1,1.0,5.0
14,400185,121827,95212,80801,102345,3,6.4,1080,2400,411,60,0,430,1,160.6,73.9,8.0,177.0,0,1,1,1,0,3,12,1,4,3,2,64,3,1,5000,30,0,1,64,0,1,0,1,2,2.5,3.0,1.0,16.0,0,0,1,0,0,1,1270,2,3,1,1,0,0,12,1,1,1,0,0,0,0,0,1,1,1,0,0.0,0.0
2,1120834,342500,337487,204589,236258,0,6.67,1080,2400,395,120,1,500,1,161.11,74.95,7.9,181.0,3,1,1,2,8,3,4,1,8,4,4,256,6,0,5000,67,0,0,64,0,2,0,1,2,2.5,3.1,1.12,16.0,0,1,1,0,1,1,479,2,2,1,1,0,1,20,1,1,1,0,0,0,0,1,0,1,1,1,1.0,1.0
5,357038,132869,61405,68750,94014,6,6.6,1080,2408,399,90,0,380,0,167.2,76.4,9.0,203.0,0,1,1,2,2,3,7,1,4,3,2,64,1,1,5000,15,0,0,48,0,1,0,0,1,2.0,5.0,1.12,8.0,0,1,1,1,1,0,1178,2,1,1,0,0,0,18,1,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0
5,133467,50498,14768,41217,26478,6,6.4,720,1560,268,60,0,450,0,161.4,76.3,8.0,177.0,0,1,1,3,0,2,14,1,2,1,1,32,1,1,4000,15,0,0,13,0,1,0,0,1,2.0,3.00395390070922,0.9680385288966724,8.0,0,0,1,1,1,0,1574,2,1,1,1,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0
5,185374,64990,26753,54180,39451,7,6.5,720,1600,270,90,0,450,0,164.0,75.9,9.7,214.0,0,1,1,2,0,2,8,0,3,3,2,32,1,1,5000,15,0,0,48,0,1,0,0,1,2.0,5.0,1.12,8.0,0,0,1,1,1,0,1239,2,1,1,1,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
0,405153,127993,85664,88980,102516,2,6.95,1080,2460,387,90,0,480,0,172.8,78.3,7.8,205.0,0,1,1,2,0,3,12,1,6,3,2,64,4,1,5000,33,0,0,64,0,4,0,1,2,2.2,1.72,0.8,16.0,0,0,1,1,0,1,1178,4,1,1,1,0,0,12,1,1,0,0,0,0,0,0,1,0,0,0,1.0,1.0
9,655055,191233,186866,126782,150174,0,6.4,1080,2400,411,90,0,600,0,160.6,73.4,7.7,179.0,0,1,1,1,0,3,6,1,8,3,2,128,6,0,4500,80,0,1,50,0,2,0,1,2,2.4,2.74,0.8,32.0,0,1,0,0,1,2,813,2,1,1,1,0,0,20,1,1,1,0,0,0,0,1,0,0,0,1,0.0,1.0
11,423279,128125,71079,109579,114496,0,6.67,1080,2400,395,120,0,500,0,163.4,76.7,7.8,190.0,3,1,1,1,0,3,6,1,8,3,2,256,3,1,5000,33,0,0,64,0,1,0,0,2,2.5,2.8,0.8,32.0,0,0,1,1,0,1,479,2,1,1,1,0,0,20,1,1,1,0,0,0,0,0,1,1,0,1,1.0,0.0
14,249559,86258,22575,83768,56958,2,6.5,720,1600,270,60,0,400,0,164.2,75.7,8.3,187.0,0,1,1,2,0,3,12,1,3,3,2,32,4,1,5000,10,0,0,50,0,1,0,0,1,2.2,5.0,0.9680385288966724,5.0,0,0,1,0,0,0,721,1,1,1,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
9,2070127,509275,845720,354899,360293,0,6.78,1264,2780,450,120,1,4500,1,162.7,75.4,8.7,206.0,5,2,2,1,18,3,4,1,12,5,4,256,7,0,5000,100,0,0,50,1,1,0,2,2,2.4,2.74,0.8,32.0,0,1,0,0,1,2,234,4,2,1,1,1,1,20,1,1,1,0,0,0,0,1,0,1,1,1,1.0,2.0
1,388038,145746,36336,85253,120703,1,6.0,1080,2340,432,90,0,700,1,144.7,70.4,8.0,151.0,8,3,2,3,0,2,7,1,8,3,2,128,3,0,4080,18,1,1,12,0,1,0,2,2,2.0,4.0,1.12,8.0,1,1,0,0,0,2,1421,2,1,1,1,1,0,15,1,1,1,1,0,0,0,0,1,1,0,0,1.0,2.0
2,414048,143613,73067,88735,108633,0,6.67,1080,2400,395,120,0,1200,0,165.88,76.21,7.98,188.0,3,1,1,2,0,3,6,1,4,3,2,128,4,1,5000,33,0,0,48,0,2,0,0,1,2.5,4.0,1.12,13.0,0,1,1,1,0,1,540,2,1,1,1,0,0,20,1,1,1,0,0,0,0,0,1,1,0,1,0.0,1.0
2,264958,80359,42378,65742,76479,2,6.71,720,1650,268,60,0,400,0,168.76,76.41,8.77,192.0,0,1,1,3,0,3,12,1,3,3,2,32,1,1,5000,10,0,0,50,0,1,0,0,1,2.2,2.76,0.9680385288966724,5.0,0,0,1,1,0,0,599,2,1,1,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
2,1507957,393420,526555,320065,267917,0,6.67,1220,2712,446,120,0,2400,1,160.5,74.4,7.8,179.0,4,4,1,1,8,3,4,1,12,5,4,256,7,0,5000,90,0,0,50,0,1,0,2,2,2.2,4.0,0.8,20.0,0,1,0,0,1,1,143,2,2,1,1,0,0,20,1,1,1,0,0,0,0,1,0,1,1,1,1.0,1.0
3,504808,160778,92172,126077,125781,4,6.67,1080,2400,395,120,1,1600,0,161.91,73.06,7.59,173.0,0,1,1,1,0,3,6,1,8,3,2,256,4,1,5000,30,0,0,50,0,1,0,0,2,2.5,1.95,0.7,32.0,1,1,1,1,1,1,82,2,1,1,1,0,0,18,1,1,1,0,0,0,0,0,1,1,1,1,1.0,1.0
5,765381,207699,247886,144292,165504,5,6.9,1440,3088,496,120,1,600,1,164.8,77.2,8.1,208.0,8,2,2,1,2,2,7,1,8,4,3,256,6,1,4500,25,1,1,108,1,1,1,2,4,2.2,3.2,1.22,10.0,1,1,0,1,1,2,1482,4,2,1,1,1,0,20,1,1,1,1,1,1,0,1,0,1,0,1,1.0,5.0
2,265196,92739,38248,60628,73581,2,6.53,1080,2340,395,60,0,400,0,163.3,77.0,9.1,198.0,0,1,1,3,1,3,12,1,3,3,2,32,1,1,5020,18,0,0,13,0,1,0,0,1,2.0,4.0,1.12,8.0,0,0,1,1,0,0,1513,2,1,1,1,0,0,7,1,1,1,0,0,0,0,0,1,0,0,0,0.0,0.0
8,1519899,319854,637431,287233,275381,0,6.8,1116,2480,400,120,0,1300,0,163.88,76.35,9.47,230.0,0,2,2,1,8,3,4,1,12,5,4,256,7,0,5000,165,0,0,50,0,1,2,2,2,2.0,2.8,1.12,16.0,0,1,1,0,0,2,630,2,2,1,1,0,0,20,1,1,1,0,0,0,1,0,0,1,1,1,1.0,3.0
3,391549,131544,85380,91656,82961,2,6.8,1080,2400,386,60,0,450,0,169.8,77.9,9.0,213.0,0,1,1,2,0,2,11,1,4,3,2,128,3,1,4000,10,0,0,48,0,1,0,1,2,2.0,3.06,1.0,16.0,0,0,1,0,0,1,1329,2,1,1,1,0,0,12,1,1,1,0,0,0,0,0,1,0,0,0,0.0,1.0
10,162436,57449,12577,45538,46872,2,6.5,720,1600,270,60,0,450,0,164.6,75.9,8.55,199.4,2,1,1,2,0,0,28,0,3,3,2,64,1,1,5000,10,0,0,50,0,1,0,0,1,2.0,3.00395390070922,0.9680385288966724,8.0,0,0,1,1,0,0,568,2,1,1,1,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
5,372105,109916,116845,79336,66008,3,5.8,1440,2960,570,60,0,540,1,148.9,68.1,8.0,155.0,8,2,2,3,0,2,10,0,4,3,2,64,3,1,3000,15,1,0,12,0,2,0,1,2,1.7,3.6,1.22,8.0,0,0,1,0,1,2,2700,3,1,0,1,0,1,16,1,1,1,1,0,0,0,0,1,1,0,0,0.0,2.0
6,1509952,386417,590109,237269,296130,0,6.78,1264,2780,450,120,1,4500,1,163.3,75.3,8.8,207.0,5,3,2,1,8,3,4,1,8,5,4,128,6,0,5500,100,0,0,50,0,1,0,2,2,2.4,3.0,1.0,16.0,1,1,0,0,1,2,203,2,1,1,1,0,0,20,1,1,1,1,0,0,0,1,0,1,1,1,1.0,1.0
5,151207,53244,16460,47477,34026,6,6.2,720,1520,271,60,0,500,0,155.6,75.6,7.9,168.0,0,1,1,0,0,2,14,0,2,2,1,32,1,1,3400,5,0,0,13,0,1,0,0,1,2.0,3.00395390070922,0.9680385288966724,5.0,0,0,1,1,1,0,2001,1,1,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0
5,370348,130365,62597,81009,96377,3,6.5,1080,2340,396,90,0,800,0,160.1,76.8,9.3,217.0,0,1,1,2,2,3,6,1,4,3,2,128,4,1,6000,25,0,0,50,0,1,0,0,1,2.0,3.00395390070922,0.9680385288966724,13.0,0,1,1,0,1,0,143,2,1,1,1,0,0,20,0,1,1,0,0,0,0,0,1,0,0,1,0.0,0.0
2,449423,150256,71009,116391,111767,0,6.67,1080,2400,395,120,1,1000,0,161.1,75.0,7.6,173.5,4,1,1,2,2,3,6,1,6,3,2,128,4,1,5000,33,0,0,108,0,1,0,0,1,2.6,3.06,1.0,16.0,0,1,1,0,1,1,234,2,1,1,1,0,1,20,1,1,1,0,0,0,0,0,1,1,1,1,0.0,0.0
