Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Width (mm),Thickness (mm),Weight (gr),Waterproof,Frame material,Fingerprint scanner,L3 cache (mb),Lithography process (nm),RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Max charge power,Wireless charging,Reverse charging,Matrix (megapixels),Zoom,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,eSIM support*,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price category,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Phase autofocus,LTE Cat*,Gyroscope,Compass,Barometer,Hall,effect sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan,Always-On Display,DC Dimming,DCI-P3
8,2369542,485363,979908,507149,397122,0,6.8,1116,2480,400,120,0,1600,1,76.4,8.9,229.0,0,2,1,12,4,16,5,4,512,7,0,165,0,0,50,0,2,2,2,2.0,3.06,1.12,16.0,0,1,1,0,1,2,52,3.0,2,2,1,1,0,0,20,1,1,0,0,0,1,0,0,1,1,1
2,1501656,396296,527576,288948,288836,0,6.67,1220,2712,446,144,1,600,1,75.7,8.49,206.0,8,1,1,8,4,12,5,4,256,7,0,120,0,0,50,0,1,2,2,2.2,2.0,0.8,20.0,1,1,0,0,1,2,356,4.0,2,1,1,1,1,0,20,1,1,0,0,0,0,1,0,1,1,1
9,606481,180693,112683,147986,165119,1,6.7,1080,2412,394,120,0,1100,1,74.7,7.54,177.0,5,1,1,0,6,8,3,2,256,6,1,67,0,1,64,0,0,1,2,2.4,2.74,0.8,32.0,0,1,0,0,0,1,203,1.0,4,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,1,1
2,2109270,484670,879453,416300,328847,0,6.73,1440,3200,522,120,1,3000,1,75.3,9.2,219.8,8,2,1,12,4,12,5,4,256,7,0,90,1,1,50,0,2,3,2,2.0,3.14,0.7,32.0,0,1,0,0,1,2,203,5.0,4,2,1,1,1,0,20,1,1,1,0,0,0,1,0,1,1,1
10,388487,141050,69953,91280,86204,2,6.56,720,1612,269,90,0,560,0,75.8,8.55,193.8,2,1,2,0,8,4,3,2,128,4,1,20,0,0,50,0,0,0,2,2.0,3.00395390070922,1.12,8.0,0,1,1,1,0,1,448,0.0,2,1,1,1,0,0,18,0,1,0,0,0,0,0,1,0,0,0
11,256425,80985,39264,64233,71943,2,6.6,720,1612,267,90,0,500,0,75.6,8.45,194.0,3,1,2,0,12,8,3,2,256,3,1,18,0,0,50,0,0,0,1,2.2,3.00395390070922,0.64,32.0,0,1,1,1,0,0,599,0.0,2,1,1,1,0,0,7,0,1,0,0,0,0,0,1,0,0,0
6,1503915,369812,549821,273801,260021,0,7.82,2268,2440,426,120,1,1400,1,143.1,5.8,239.0,0,2,2,8,4,16,5,4,512,7,0,67,0,1,48,1,0,2,2,2.4,3.14,0.7,20.0,1,1,0,0,1,2,326,6.0,4,1,1,1,1,0,20,1,1,0,0,0,0,1,0,1,1,1
6,442327,146189,98495,85990,111653,2,6.72,1080,2400,391,120,1,550,0,76.0,8.3,195.0,0,1,2,0,6,8,3,2,128,4,1,50,0,1,108,0,0,0,1,2.4,1.67,1.0,16.0,0,1,1,0,1,1,448,1.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,0,0,1
3,251970,77163,41212,62322,71273,2,6.56,720,1612,269,90,0,570,0,75.0,8.0,180.0,2,1,2,0,12,4,3,2,128,1,1,15,0,0,50,0,0,0,1,2.0,2.76,1.12,8.0,0,0,1,0,1,0,234,0.0,2,1,1,1,0,0,7,1,1,0,0,0,0,0,1,0,0,0
7,1877672,409921,820238,346992,300521,1,6.5,1080,2340,396,120,1,1300,1,74.0,8.2,192.0,5,2,2,12,4,12,5,4,256,7,1,30,1,1,48,1,0,3,2,2.0,2.9,1.0,12.0,1,1,1,0,1,2,82,5.0,4,2,1,1,1,0,20,1,1,0,0,0,0,1,0,1,0,1
12,971043,270835,264479,200427,235308,0,6.78,1260,2800,453,120,1,2800,1,75.1,7.45,188.0,4,1,1,4,4,8,3,2,256,4,0,80,0,1,50,1,0,1,2,2.0,2.76,0.64,50.0,0,1,0,0,0,1,174,1.0,4,1,1,1,0,0,18,1,1,0,0,0,0,1,0,1,1,1
11,415676,136813,66510,102902,109451,2,6.78,1080,2460,396,120,0,580,0,76.61,9.0,219.4,0,1,2,0,6,8,3,2,128,4,1,45,0,1,50,0,0,0,2,2.0,2.76,1.12,8.0,0,0,1,1,0,0,418,0.0,2,1,1,1,0,0,20,1,1,0,0,0,0,0,1,0,0,1
9,756404,201695,207483,161937,185289,0,6.7,1080,2412,394,120,0,500,1,74.2,7.34,183.0,0,2,1,4,5,8,4,4,256,6,0,80,0,1,50,0,0,1,2,2.4,2.74,0.8,32.0,0,1,0,0,1,2,813,2.0,2,1,1,1,0,0,20,1,1,0,0,0,0,1,0,1,0,1
2,812147,242385,249241,139319,181202,3,6.67,1080,2400,395,60,0,800,1,75.4,8.9,219.0,3,2,1,4,7,6,4,2,128,6,0,30,0,0,64,0,1,2,4,2.2,3.4,0.8,20.0,0,1,1,0,0,2,1543,1.0,2,1,1,1,0,0,24,1,1,1,0,0,0,1,0,1,1,1
2,635592,185710,154320,128426,167136,2,6.67,1080,2400,395,120,0,450,1,76.8,9.4,215.0,3,1,2,2,7,6,3,2,128,6,1,33,0,0,48,0,0,1,2,2.2,3.4,0.8,20.0,0,0,1,1,0,1,1239,0.0,2,1,1,1,0,0,20,1,1,0,0,0,0,1,0,0,0,0
13,972547,309344,195380,264617,203206,1,6.8,1260,2844,460,120,1,2500,1,75.1,8.4,226.0,8,2,1,0,7,16,4,4,512,6,0,100,1,1,50,0,0,2,2,2.4,1.7,1.0,13.0,0,1,0,0,0,2,143,5.0,4,1,1,1,0,1,20,1,1,0,0,0,0,1,0,1,1,1
2,301096,97540,53887,70527,79142,0,5.97,1080,2340,432,60,0,585,1,70.5,7.4,155.0,0,2,1,1,10,6,3,2,64,3,0,18,0,0,48,1,0,1,2,2.0,2.78,0.9,20.0,0,0,0,0,0,1,2001,1.0,2,1,1,1,0,1,15,1,1,1,1,1,0,0,1,1,0,0
5,249988,83929,37651,60141,68267,3,6.4,1080,2400,411,90,0,450,0,74.0,8.4,180.0,0,1,2,1,12,4,3,2,64,1,1,25,0,0,64,0,0,0,1,2.2,4.0,1.12,20.0,0,0,1,1,1,1,1178,1.0,2,1,1,1,0,0,7,1,1,0,0,0,0,0,1,1,0,0
9,156730,56344,11446,42926,46014,2,6.51,720,1600,269,60,0,500,0,75.7,8.4,192.0,0,1,2,0,12,4,3,2,128,1,1,18,0,0,13,0,0,0,1,2.5,3.06,1.75,16.0,0,0,1,1,0,0,1239,0.0,2,1,1,1,0,0,7,0,1,0,0,0,0,0,1,0,0,0
11,226742,78487,26861,58152,63242,2,6.6,720,1612,267,90,0,450,0,76.0,8.95,193.0,0,1,3,1,12,2,3,2,64,1,1,10,0,0,13,0,0,0,1,1.8,3.00395390070922,0.9680385288966724,8.0,0,0,1,1,0,0,933,0.0,2,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
3,1552885,384021,523782,376100,268982,4,6.7,1220,2712,446,144,1,2500,1,72.4,8.6,197.0,8,2,1,8,4,12,5,4,512,7,0,125,1,1,50,0,0,2,2,1.9,2.76,0.64,50.0,1,1,0,0,1,2,113,3.0,4,2,1,1,0,0,18,1,1,0,0,0,0,1,0,0,1,1
7,1301226,326026,546226,186740,242234,1,6.1,1080,2520,449,120,0,750,1,68.0,8.6,182.0,8,2,2,8,4,8,5,4,128,6,1,30,1,1,48,0,0,3,3,2.0,2.93,1.22,12.0,1,1,1,0,1,2,356,3.0,4,1,1,1,1,0,20,1,1,0,0,0,0,0,1,1,0,1
5,1907531,457176,769130,374255,306970,5,6.8,1440,3088,501,120,1,2600,1,79.0,8.6,232.0,8,2,1,12,4,12,5,4,256,7,0,45,1,1,200,0,2,2,2,2.2,3.2,1.12,12.0,1,1,0,0,1,2,234,5.0,4,2,1,1,1,0,20,1,1,1,1,1,0,1,0,1,1,1
1,388038,145746,36336,85253,120703,1,6.0,1080,2340,432,90,0,700,1,70.4,8.0,151.0,8,2,3,0,7,8,3,2,128,3,0,18,1,1,12,0,0,2,2,2.0,4.0,1.12,8.0,1,1,0,0,0,2,1421,2.0,2,1,1,1,1,0,15,1,1,1,0,0,0,0,1,1,0,0
4,707571,214987,168077,178183,146324,0,6.7,1200,2664,435,120,1,1000,1,74.1,7.8,183.0,0,1,1,0,4,8,3,2,256,6,0,66,0,1,200,0,0,1,2,2.2,1.4,1.12,50.0,1,1,0,0,0,1,448,1.0,4,1,1,1,0,1,18,1,1,0,0,0,0,0,1,1,1,1
5,372105,109916,116845,79336,66008,3,5.8,1440,2960,570,60,0,540,1,68.1,8.0,155.0,8,2,3,0,10,4,3,2,64,3,1,15,1,0,12,0,0,1,2,1.7,3.6,1.22,8.0,0,0,1,0,1,2,2700,2.0,3,1,0,1,0,1,16,1,1,1,0,0,0,0,1,1,0,0
3,418708,145397,82138,78984,112189,4,6.28,1080,2400,419,120,0,500,1,71.2,7.75,155.0,2,1,1,0,6,6,3,2,128,4,0,68,1,0,64,0,0,0,2,2.4,2.0,0.7,32.0,0,1,0,0,1,1,691,1.0,2,1,1,1,0,0,18,0,1,0,0,0,0,0,1,1,0,1
13,900786,279684,200980,225502,194620,1,6.76,1224,2776,449,120,1,500,1,74.96,7.68,201.0,0,1,1,0,7,8,4,4,256,6,0,100,0,1,50,0,0,1,2,2.4,2.8,0.61,60.0,0,1,0,0,0,1,234,2.0,4,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,1,1
12,2159512,465624,893977,453448,346463,0,8.03,2200,2480,413,120,1,4500,1,142.4,5.2,236.0,0,2,1,12,4,12,5,4,256,7,0,100,1,1,50,1,2,2,2,2.4,3.6,0.61,32.0,0,1,0,0,1,2,143,5.0,2,1,1,1,1,0,20,1,1,0,1,1,0,1,0,1,1,1
3,517563,161837,87588,113549,154589,4,6.6,1080,2400,402,144,0,1200,1,71.99,7.64,168.0,8,2,1,0,6,8,3,2,256,4,0,68,1,1,50,0,0,1,2,2.4,1.55,0.7,32.0,1,1,0,0,1,1,326,1.0,4,1,1,1,1,0,19,1,1,1,0,0,0,0,1,1,1,1
0,259480,83053,41073,65958,69396,6,6.78,1080,2460,396,90,0,600,0,76.61,8.5,196.0,0,1,2,0,12,8,3,2,256,1,1,33,0,0,50,0,0,0,1,2.5,2.55,0.9680385288966724,8.0,0,0,1,1,0,0,540,0.0,2,1,1,1,0,0,20,0,1,0,0,0,0,0,1,0,0,0
2,245171,86965,37220,53944,67042,2,6.3,1080,2340,409,60,0,550,0,75.2,8.1,186.0,0,1,3,0,14,3,3,2,32,1,1,18,0,0,48,0,0,0,2,2.2,3.1,1.12,13.0,0,1,1,1,0,1,2060,0.0,2,1,1,1,1,0,13,1,1,0,0,0,0,0,1,0,0,0
5,417389,152613,80451,79577,104748,7,6.6,1080,2408,400,120,0,450,0,76.9,8.4,197.0,0,1,2,0,6,4,3,2,64,4,1,25,0,0,50,0,0,0,1,2.2,5.0,1.12,8.0,0,1,1,0,1,1,721,1.0,2,1,1,1,0,0,18,1,1,1,0,0,0,0,1,0,0,1
6,479019,147231,123064,92576,116148,2,6.56,720,1612,269,90,0,500,0,75.1,7.99,190.0,0,1,2,2,6,4,3,2,64,4,1,33,0,0,48,0,0,0,1,2.0,3.00395390070922,0.8,16.0,0,1,1,0,0,1,660,0.0,2,1,1,1,0,0,13,0,1,1,0,0,0,0,1,0,0,1
5,667934,169143,208710,148420,141661,3,6.8,1440,3040,495,60,0,700,1,77.2,7.9,196.0,8,2,1,0,7,12,3,2,256,5,1,45,1,1,12,1,0,2,4,1.6,2.65,1.22,10.0,0,1,0,1,1,2,1848,4.0,4,1,1,1,1,1,20,1,1,1,0,0,0,0,1,1,0,1
2,1397705,293428,539878,307723,256676,0,6.67,1220,2712,446,120,1,1800,1,74.34,8.25,186.0,4,1,1,4,4,8,5,4,256,7,0,67,0,0,64,0,0,1,2,2.6,3.06,1.0,16.0,0,1,0,0,1,1,234,1.0,2,2,1,1,0,0,20,1,1,0,0,0,0,1,0,1,1,1
5,1156262,327152,435920,188655,204535,5,6.4,1080,2340,403,120,0,1450,1,76.5,8.2,209.0,8,2,1,4,4,8,4,4,128,6,0,25,1,1,50,1,1,2,2,2.4,2.65,1.22,10.0,1,1,0,0,1,2,326,2.0,4,2,1,1,0,0,20,1,1,0,0,0,0,1,0,1,0,1
8,1206944,321813,454814,182280,248037,0,6.8,1080,2400,387,165,0,530,1,78.3,9.5,215.0,0,2,1,6,4,8,4,2,128,6,0,65,0,0,64,0,2,2,2,2.0,4.0,1.12,8.0,0,1,1,0,1,2,933,2.0,2,1,1,1,1,0,20,1,1,1,0,0,1,0,0,1,1,1
14,372668,128815,61432,87216,95205,2,6.6,1080,2412,401,120,0,600,0,75.5,8.5,194.0,0,1,2,0,12,4,3,2,64,3,1,18,0,0,50,0,0,0,1,2.1,3.0,1.0,16.0,0,0,1,0,0,1,1086,0.0,2,1,1,1,0,0,13,1,1,0,0,0,0,0,1,0,0,1
9,559638,168572,136608,112315,142143,0,6.7,1080,2412,394,120,0,950,1,74.19,7.99,185.0,0,1,1,0,6,8,3,2,128,4,0,67,0,1,64,1,0,1,2,2.4,2.74,0.8,32.0,0,1,0,0,0,1,448,1.0,2,1,1,1,0,1,18,1,1,0,0,0,0,0,1,1,1,1
5,370348,130365,62597,81009,96377,3,6.5,1080,2340,396,90,0,800,0,76.8,9.3,217.0,0,1,2,2,6,4,3,2,128,4,1,25,0,0,50,0,0,0,1,2.0,3.00395390070922,0.9680385288966724,13.0,0,1,1,0,1,0,143,0.0,2,1,1,1,0,0,20,1,1,0,0,0,0,0,1,0,0,1
3,227536,77070,30643,56954,62869,0,6.4,1080,2400,411,60,0,700,0,73.87,8.55,181.0,2,1,2,0,12,4,3,2,64,1,1,20,0,0,50,0,0,0,1,2.2,4.0,1.12,13.0,0,0,1,1,1,1,995,0.0,2,1,1,1,0,0,7,1,1,0,0,0,0,0,1,1,0,1
13,253773,94189,34032,61834,63718,2,6.15,1080,2312,415,60,0,460,0,72.7,7.43,159.0,0,1,3,1,12,4,3,2,128,1,1,18,0,0,24,0,0,0,2,2.0,2.8,0.8,32.0,0,0,1,1,0,1,1940,1.0,2,1,1,1,0,0,12,1,1,0,0,0,0,0,1,0,0,0
3,562384,170643,143286,113077,135378,1,6.6,1080,2400,399,144,0,500,1,74.24,7.99,170.0,2,1,1,0,6,8,3,2,256,4,0,30,1,1,50,0,0,1,2,2.5,5.0,0.7,32.0,1,1,0,0,1,1,752,2.0,2,1,1,1,0,0,19,1,1,1,0,0,0,0,1,1,0,1
14,1497489,391318,524907,305073,276191,0,6.78,1264,2780,450,120,1,6000,1,75.1,8.65,199.0,5,1,1,8,4,8,5,4,256,7,0,120,0,0,50,1,0,2,2,2.5,2.74,0.8,32.0,0,1,0,0,1,2,82,2.0,4,1,1,1,0,0,18,1,1,0,0,0,0,1,0,1,1,1
10,252429,79898,28263,87019,57249,2,6.5,720,1600,270,90,0,500,0,76.19,8.48,192.23,2,1,2,1,12,4,3,2,64,4,1,20,0,0,50,0,0,0,1,2.0,2.76,1.12,8.0,0,0,1,1,0,0,568,0.0,2,1,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0
12,2152184,490601,893392,446780,321411,0,6.78,1260,2800,452,120,1,3000,1,75.28,8.91,225.0,8,2,1,18,4,12,5,4,256,7,0,100,1,1,50,0,2,2,2,2.0,2.8,0.8,32.0,1,1,0,0,1,2,295,3.0,4,2,1,1,1,0,20,1,1,0,0,0,0,1,0,1,1,1
4,353467,80042,106499,81766,85160,2,5.84,1080,2280,432,60,0,500,0,71.2,7.7,153.0,0,2,2,0,10,4,3,2,64,3,0,22,0,0,16,0,0,1,2,2.0,2.8,0.9,24.0,0,0,1,0,1,2,2335,1.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,0,0,0
5,680061,206940,180770,136999,155352,5,6.2,1440,3200,563,120,0,800,1,69.1,7.9,163.0,8,2,1,2,7,8,4,2,128,5,1,25,1,1,12,1,1,2,2,2.2,3.2,1.22,10.0,1,0,0,0,1,2,1635,3.0,4,2,1,1,1,0,22,1,1,1,0,0,0,0,1,1,0,1
5,667696,241677,167935,112520,145564,3,6.7,1080,2400,393,120,0,500,0,76.5,7.8,180.0,0,0,1,0,4,8,4,4,128,6,1,45,0,0,50,0,0,1,2,2.4,1.56,1.0,50.0,0,1,0,0,1,1,174,1.0,4,1,1,1,0,0,18,1,1,0,0,0,0,0,1,1,0,1
9,446453,146992,82953,102495,114013,8,6.72,1080,2400,392,120,0,680,0,76.1,8.2,192.0,0,1,2,0,6,8,3,2,256,4,1,67,0,0,64,0,0,0,1,2.4,3.00395390070922,0.9680385288966724,32.0,0,1,1,0,0,1,479,1.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,0,0,1
14,1404534,374669,484656,297350,247859,0,6.78,1264,2780,450,120,1,6000,1,75.1,8.65,191.0,5,1,1,0,4,8,5,4,256,7,0,100,0,0,50,0,0,2,2,2.5,2.74,0.8,32.0,0,1,0,0,1,1,143,,4,1,1,1,0,0,18,1,1,0,0,0,0,1,0,1,1,1
11,432789,140917,68002,106352,117518,2,6.78,1080,2460,396,120,0,580,0,76.5,9.0,220.0,0,1,2,2,6,8,3,2,128,4,1,68,0,1,50,0,0,0,2,1.7,3.00395390070922,0.9680385288966724,16.0,0,1,1,1,0,1,387,0.0,2,2,1,1,0,0,20,1,1,0,0,0,0,0,1,0,0,1
2,2020439,433229,857702,393535,319238,0,6.36,1200,2670,460,120,1,3000,1,71.5,8.2,193.0,8,2,1,12,4,8,5,4,256,7,0,90,1,1,50,0,1,2,2,2.0,3.0,0.7,32.0,1,1,0,0,1,2,295,3.0,4,2,1,1,1,1,20,1,1,1,0,0,0,1,0,1,1,1
15,1215755,325882,426064,214511,249298,3,5.9,1080,2400,445,120,0,800,1,68.1,9.1,169.0,8,2,2,6,4,8,4,4,128,6,0,30,0,1,50,0,1,3,2,2.5,2.93,1.22,12.0,0,1,1,0,0,2,752,3.0,4,1,1,1,1,0,20,1,1,0,1,1,0,0,1,1,1,1
16,158657,52236,18220,48690,39511,2,6.75,720,1600,260,90,0,400,0,76.67,8.32,190.0,0,1,2,0,12,4,3,2,64,1,1,10,0,0,50,0,0,0,1,2.2,5.0,1.12,5.0,0,0,1,0,0,0,174,,2,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
9,1449660,380900,520102,287260,261398,0,6.74,1240,2772,451,120,1,500,1,74.1,9.0,207.0,4,2,1,8,4,12,4,4,256,7,0,80,0,0,50,0,0,2,2,2.4,2.74,0.8,32.0,0,1,0,0,1,2,540,2.0,2,1,1,1,0,1,20,1,1,0,0,0,0,0,1,1,1,1
5,594133,192479,165956,92546,143152,3,6.4,1080,2340,403,120,1,1000,1,76.7,8.2,202.0,7,1,1,4,5,6,3,2,128,6,1,25,0,0,50,0,0,1,2,2.2,2.8,0.8,32.0,1,1,0,0,1,1,540,1.0,4,1,1,1,0,0,18,1,1,1,1,1,0,1,0,1,0,1
14,317925,111183,39950,82903,83889,3,6.4,1080,2400,411,90,0,430,0,73.3,7.99,178.0,4,1,1,0,6,6,3,2,128,4,1,33,0,0,108,0,0,0,1,2.1,3.13,1.0,16.0,0,0,1,0,1,1,874,1.0,2,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,0,1
1,1323184,394284,453826,261584,213490,1,6.8,1344,2992,486,120,1,3000,1,76.6,8.5,221.0,8,2,1,0,4,16,5,4,128,7,0,37,1,1,50,1,2,2,2,2.2,2.51,1.2,42.0,1,1,0,0,0,2,21,4.0,4,2,1,1,1,1,20,1,1,1,0,0,0,1,0,1,0,1
2,358084,121908,43873,98672,93661,0,6.67,1080,2400,395,120,0,1800,0,75.55,7.97,188.5,4,1,1,0,6,6,3,2,128,4,1,33,0,0,108,0,0,0,1,2.4,3.06,1.0,16.0,0,0,1,0,1,1,234,0.0,2,1,1,1,0,0,13,1,1,0,0,0,0,0,1,1,0,1
14,462768,146515,81863,116243,118147,2,6.72,1080,2400,392,120,0,600,0,74.2,8.1,190.0,0,1,2,0,6,8,3,2,128,4,1,33,0,0,108,0,0,0,1,2.5,3.1,1.0,16.0,0,1,1,0,0,1,660,1.0,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,0,0,1
5,1461703,378453,518958,305820,258472,5,7.6,1812,2176,374,120,1,600,1,129.9,6.1,253.0,0,2,2,8,4,12,5,4,256,7,0,25,1,1,50,0,1,2,2,1.8,3.2,1.22,10.0,1,1,0,0,1,2,387,6.0,4,2,1,1,1,0,20,1,1,1,0,0,0,1,0,1,0,1
15,2069048,488032,891544,375069,314403,0,6.78,1080,2400,388,144,1,2500,1,76.8,8.9,225.0,8,2,1,12,4,12,5,4,256,7,0,65,1,1,50,0,1,2,2,2.5,3.2,0.7,32.0,0,1,1,0,0,2,143,3.0,2,1,1,1,1,1,20,1,1,0,1,1,0,1,0,1,1,1
